VIET NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Imports of goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Imports of services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Statistical discrepancy ,-410,"1,716","4,775","7,553","2,702 |","27,224","9,114","50,875","56,654","53,959",-770,"21,845","-64,323","-70,637","-74,347","-4,071","-5,688","-1,557","-58,859",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Growth of Demand   (% annual change),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,"Growth Demand annual change, percent",,Y,"Growth Demand annual change, percent",,,,,,,,,,,,,,,,,,,,,,
,               Household final consumption,3.1,4.5,7.6,8.0,7.1,5.8,7.5,9.8,7.7,2.3,8.2,4.1,4.9,5.2,6.1,9.3,7.3,7.3,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Private consumption,,N,Private consumption,,,,,,,,,,,,,,,,,,,,,,
,               Government final consumption,5.0,6.6,5.4,7.2,7.8,8.2,8.5,8.9,7.5,7.6,12.3,7.1,7.2,7.3,7.0,7.0,7.5,7.3,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Government consumption,,N,Government consumption,,,,,,,,,,,,,,,,,,,,,,
,               Gross capital formation ,10.1,10.8,12.7,11.9,10.5,11.2,11.8,26.8,6.3,4.3,10.4,-6.8,2.4,5.5,8.9,9.0,9.7,9.8,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Gross domestic capital formation,,N,Gross domestic capital formation,,,,,,,,,,,,,,,,,,,,,,
,               Exports of goods and servicesd,...,...,11.0,19.9,...,7.8,14.2,11.3,5.1,11.1,14.6,10.8,15.7,17.4,11.6,12.6,13.9,16.7,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Exports of goods and services,,N,Exports of goods and services,,,,,,,,,,,,,,,,,,,,,,
,               Imports of goods and servicesd,...,...,15.8,22.7,...,5.9,15.2,27.6,7.6,6.7,13.7,4.1,9.1,17.3,12.8,18.1,15.3,17.5,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Imports of goods and services,,N,Imports of goods and services,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Investment Financing at Current Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,"Investment Financing, at current prices",,Y,"Investment Financing, at current prices",,,,,,,,,,,,,,,,,,,,,,
,Gross capital formation,"130,771","150,033","177,983","217,434","253,686","308,543","366,629","493,300","589,746","672,326","770,211","827,032","884,160","956,124","1,056,632","1,160,447","1,196,739","1,330,694","1,470,550",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Gross domestic capital formation,,N,Gross domestic capital formation,,,,,,,,,,,,,,,,,,,,,,
,Gross national saving,"138,004","150,655","174,271","193,193","239,387","302,306","353,828","396,974","450,886","497,566","656,739","829,503","1,000,644","1,062,251","1,109,135","1,025,277","1,110,068","1,224,064","1,251,374",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Gross national saving,,N,Gross national saving,,,,,,,,,,,,,,,,,,,,,,
,     Gross domestic saving,"119,793","138,688","153,625","168,222","204,086","265,481","311,877","328,381","379,782","465,458","592,226","771,180","959,796","1,017,459","1,099,808","1,077,777","1,123,329","1,274,421","1,438,677",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,Gross domestic saving,,N,Gross domestic saving,,,,,,,,,,,,,,,,,,,,,,
,     Net factor income from abroad,"-6,327","-6,440","-8,706","-9,755","-13,401","-16,779","-22,810","-34,963","-48,083","-77,928","-82,250","-119,804","-130,192","-153,594","-187,033","-215,253","-188,412","-241,018","-387,780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC29,,,,,1,1,Net factor income from abroad,,N,,,,,,,,,,,,,,,,,,,,,,,
,     Net current transfers from abroade,"24,538","18,407","29,352","34,726","48,702","53,603","64,761","103,556","119,186","110,036","146,763","178,127","171,040","198,386","196,359","162,753","175,151","190,660","200,477",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,Net transfer from abroad,Net transfer from abroad,N,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,              Savings and Investment   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Savings and Investment % of GDP at current prices,,Y,Savings and Investment % of GDP at current prices,,,,,,,,,,,,,,,,,,,,,,
,               Gross domestic saving,27.1,28.8,28.7,27.4,28.5,29.0,29.4,26.3,23.5,25.7,27.4,27.7,29.6,28.4,27.9,25.7,24.9,25.5,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Gross domestic saving,,N,Gross domestic saving,,,,,,,,,,,,,,,,,,,,,,
,               Gross national saving,31.2,31.3,32.5,31.5,33.5,33.1,33.3,31.8,27.9,27.5,30.4,29.8,30.8,29.6,28.2,24.5,24.7,24.5,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Gross national saving,,N,Gross national saving,,,,,,,,,,,,,,,,,,,,,,
,               Gross capital formation,29.6,31.2,33.2,35.4,35.5,33.8,34.5,39.6,36.5,37.2,35.7,29.8,27.2,26.7,26.8,27.7,26.6,26.6,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Gross domestic capital formation,,N,Gross domestic capital formation,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,At Current Market Prices  (D '000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,At Current Market Prices,,Y,At Current Market Prices,,,,,,,,,,,,,,,,,,,,,,
,Per capita GDP,"5,727","6,161","6,775","7,668","8,836","11,158","12,813","14,804","18,986","21,031","24,822","31,647","36,543","39,932","43,402","45,719","48,577","53,437","58,525",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Per Capita GDP,,N,Per Capita GDP,,,,,,,,,,,,,,,,,,,,,,
,Per capita GNI,"5,645","6,078","6,665","7,546","8,671","10,953","12,538","14,389","18,421","20,125","23,876","30,283","35,077","38,220","41,341","43,372","46,546","50,864","54,430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Per Capita GNI,,N,Per Capita GNI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRODUCTION INDEXES  period averages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Production indexes{|}  period averages,,Y,Production indexes{|}  period averages,,,,,,,,,,,,,,,,,,,,,,
,     Agriculture;  2004–2006 = 100,76.8,81.5,87.0,91.3,96.2,99.8,104.0,109.2,114.1,116.7,119.8,125.0,133.2,135.1,138.1,141.4,139.2,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Agriculture,,N,Agriculture,,,,,,,,,,,,,,,,,,,,,,
,     Mining ; 2010 = 100,…,…,…,…,…,…,…,…,…,…,…,…,105.0,99.4,102.4,107.1,93.2,93.6,97.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Mining,,N,Mining,,,,,,,,,,,,,,,,,,,,,,
,     Manufacturing;  2000 = 100,…,…,…,…,…,…,…,…,…,…,…,…,105.5,107.6,108.7,110.5,111.3,114.5,112.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Manufacturing,,N,Manufacturing,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ENERGY  annual values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,ENERGY{|} annual values,,Y,ENERGY{|} annual values,,,,,,,,,,,,,,,,,,,,,,
,Crude petroleum (t ’000 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Crude petroleum,,Y,Crude petroleum,,,,,,,,,,,,,,,,,,,,,,
,     Production,"16,291","16,833","16,863","17,700","20,051","18,519","16,800","15,920","14,904","16,360","15,014","15,185","16,739","16,705","17,392","18,746","17,230","15,518","13,969",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Production,,N,Production,,,,,,,,,,,,,,,,,,,,,,
,     Exports,"15,424","16,732","16,876","17,143","19,501","17,967","16,442","15,062","13,752","13,373","8,072","8,240","9,251","8,398","9,306","9,486","6,850","6,806","3,958",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Exports,,N,Exports,,,,,,,,,,,,,,,,,,,,,,
,     Importsf,"8,747","9,083","9,971","9,936","11,048","11,477","11,225","12,850","12,857",398,492,629,729,"1,312",704,182,435,"1,181","5,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Imports,,N,Imports,,,,,,,,,,,,,,,,,,,,,,
,     Consumption,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Consumption,,N,Consumption,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coal  (t ’000 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Coal,,Y,Coal,,,,,,,,,,,,,,,,,,,,,,
,     Production,"11,609","13,397","16,409","19,300","27,349","34,093","38,778","42,483","39,777","44,078","44,835","46,611","42,083","41,064","41,086","41,664","38,735","38,409","42,047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Production,,N,Production,,,,,,,,,,,,,,,,,,,,,,
,     Exports,"3,251","4,292","6,047","7,262","11,636","17,988","29,308","32,072","19,358","24,992","19,876","17,163","15,219","12,802","7,265","1,748","1,243","2,229","2,396",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Exports,,N,Exports,,,,,,,,,,,,,,,,,,,,,,
,     Imports,...,...,...,...,...,57,64,375,385,448,...,...,"1,876","2,271","3,096","6,927","13,199","14,677","22,857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Imports,,N,Imports,,,,,,,,,,,,,,,,,,,,,,
,     Consumption,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Consumption,,N,Consumption,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Natural gas   (t million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Production ,"1,596",...,...,"2,712","6,269","6,440","7,000","7,080","7,499","8,010","9,402","8,480","9,355","9,751","10,210","10,660","10,610","9,866","10,010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Exports ,...,...,...,158,148,"1,569","1,859",839,"24,144","20,067","7,917","14,121","8,973","57,178","259,127","157,723","117,580","90,938","193,665",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Imports ,"20,953","32,940","54,116","94,100","149,213","208,042","270,707","417,534","563,044","443,133","542,282","672,957","618,776","644,093","782,705","538,418","494,691","711,265","843,975",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Consumption ,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Electricity  (kWh million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Electricity,,Y,Electricity,,,,,,,,,,,,,,,,,,,,,,
,     Production,"26,683","30,673","35,888","40,546","46,202","52,078","57,917","64,147","70,960","80,643","91,722","101,499","115,147","124,454","140,237","157,949","175,745","191,593","209,181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Production,,N,Production,,,,,,,,,,,,,,,,,,,,,,
,     Exports,"1,650","1,950","1,800",363,–,–,"27,296","286,074","741,564","11,067","56,603","79,375","28,940","177,639","98,144","92,499","91,886","83,942","36,618",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Exports,,N,Exports,,,,,,,,,,,,,,,,,,,,,,
,     Imports,–,–,–,–,"2,125","15,072","38,037","110,670","145,745","198,519","298,552","300,530","158,655","221,180","142,704","142,847","135,536","109,041","170,901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Imports,,N,Imports,,,,,,,,,,,,,,,,,,,,,,
,     Consumption,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Consumption,,N,Consumption,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Retail Prices  (D/L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Retail Prices,,Y,Retail Prices,,,,,,,,,,,,,,,,,,,,,,
,"     Gasoline, premium",...,...,...,...,...,...,...,...,...,...,...,"20,271","23,265","24,225","24,235","18,522",...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,"Gasoline, premium",,N,,,,,,,,,,,,,,,,,,,,,
,     Diesel,...,...,...,...,...,...,...,...,...,...,...,"19,108","21,377","21,884","21,633","14,803",...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Diesel,,N,Diesel,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRICE INDEXES  period averages; 2000 | 2005 | 2009 = 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,PRICE INDEXES{|}  {#BaseYear=100#}; period averages,,Y,PRICE INDEXES{|}  {#BaseYear=100#}; period averages,,,,,,,,,,,,,,,,,,,,,,
,Consumer (national),100.0,99.7,103.5,106.8,115.1,124.6 |,107.5,116.4,143.1,152.9 |,109.2,129.5,141.4,150.7,158.0,159.0,163.3,169.0,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Consumer (National),,N,Consumer (National),,,,,,,,,,,,,,,,,,,,,,
,Food and nonalcoholic beverages,100.0,98.7,107.6,108.8,122.4,136.1 |,108.7,118.6,162.0,176.1 |,111.4,140.9,152.3,156.4,162.7,165.1,169.0,167.1,172.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Alcoholic beverages, tobacco, and narcotics",100.0,101.3,106.2,107.3,111.5,116.1 |,105.0,112.4,124.5,136.4 |,109.9,122.7,130.8,136.3,141.4,144.4,147.6,149.9,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clothing and footwear,100.0,100.7,102.9,104.2,108.2,112.8 |,105.9,110.6,122.0,132.8 |,107.7,120.7,132.8,143.3,149.5,154.4,157.6,159.3,161.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Housing, water, electricity, gas, and other fuels",100.0,101.8,104.4,112.7,120.0,128.6 |,108.8,117.8,142.0,146.8 |,117.1,140.1,155.0,162.3,168.4,165.6,169.8,177.0,182.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Furnishings, household equipment, and routine household maintenance",100.0,101.7,102.6,103.8,106.9,111.6 |,105.6,111.1,121.1,131.4 |,105.1,114.4,123.1,129.3,133.1,135.8,137.3,138.7,140.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Health,100.0,100.7,100.4,113.6,129.3,136.2 |,104.9,109.2,118.9,126.2 |,102.7,108.5,126.2,183.8,193.6,197.7,254.1,361.6,400.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Transport,100.0,99.2,96.3,98.2,98.0,106.2 |,107.1,110.7,128.4,128.0 |,112.9,130.9,141.6,148.0,150.4,132.4,122.8,131.1,139.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Communication,...,...,...,...,...,...,...,...,...,… ,92.7,89.0,88.0,87.6,87.2,87.5,86.9,86.4,85.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Recreation and culture,100.0,100.2,99.6,98.7,100.2,101.8 |,103.0,106.0,112.2,118.7 |,105.0,112.9,119.3,124.0,127.0,129.0,131.0,132.1,133.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Education,100.0,103.2,106.1,111.1,112.1,114.2 |,104.4,107.0,111.4,117.8 |,110.3,135.9,159.1,181.7,200.1,213.1,226.5,247.1,262.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Restaurants and hotels,100.0,102.5,104.5,107.5,113.0,119.5 |,106.1,113.8,128.7,143.3 |,112.9,126.5,140.0,149.8,155.8,160.3,163.8,167.3,171.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Miscellaneous goods and services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Consumer (capital) ,...,...,...,...,...,...,...,...,...,100.0,113.4,133.8,145.3,154.5,161.8,163.0,168.0,173.0,180.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Consumer (capital city),,N,Consumer (capital city),,,,,,,,,,,,,,,,,,,,,,
,Food and nonalcoholic beverages,...,...,...,...,...,...,...,...,...,100.0,116.4,152.8,167.1,173.4,179.4,181.4,186.1,183.9,191.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Alcoholic beverages, tobacco, and narcotics",...,...,...,...,...,...,...,...,...,100.0,116.7,131.9,142.0,147.8,154.5,158.3,162.1,165.6,168.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clothing and footwear,...,...,...,...,...,...,...,...,...,100.0,109.2,118.8,131.5,141.4,148.4,154.3,157.6,159.3,163.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Housing, water, electricity, gas, and other fuels",...,...,...,...,...,...,...,...,...,100.0,121.4,144.9,160.0,170.9,177.5,174.5,177.3,183.1,192.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
