KIRIBATI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Public order and safety,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"26,755","10,659","11,064","12,667",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Economic affairs,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"25,471","46,048","56,035","85,698",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Environmental protection,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"3,130","3,655","3,674","4,469",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Housing and community amenities,...,...,...,...,...,...,...,...,...,...,...,...,...,...,–,–,–,–,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Health,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"20,449","22,562","27,528","27,039",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Recreation, culture, and religion",...,...,...,...,...,...,...,...,...,...,...,...,...,...,–,–,–,–,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Education,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"22,393","22,465","24,213","26,545",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Social protection,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"2,678","3,085","2,926","3,262",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Expenditure by Functionac  (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Education,...,...,...,...,...,...,...,...,...,...,...,...,...,...,11.2,9.9,10.1,11.0* ,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Health,...,...,...,...,...,...,...,...,...,...,...,...,...,...,10.3,9.9,11.5,11.2* ,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Social protection,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1.3,1.4,1.2,1.3* ,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EXTERNAL TRADE   calendar year  (A$ '000)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Exports, fob","6,178","7,293","6,322","4,470","3,705","5,643","3,348","12,096","8,790","8,047","4,245","8,331","6,783","6,919","11,254","12,018",...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Imports, fob","67,922","75,008","91,585","79,496","80,753","100,081","82,396","83,632","87,880","88,939","79,687","88,903","104,825","111,088","118,990","137,462",...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Trade balance,"-61,744","-67,715","-85,263","-75,026","-77,048","-94,438","-79,048","-71,536","-79,090","-80,892","-75,441","-80,572","-98,042","-104,169","-107,737","-125,444",...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               External Trade   (% annual change),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Exports,-54.5,18.0,-13.3,-29.3,-17.1,52.3,-40.7,261.3,-27.3,-8.5,-47.2,96.2,-18.6,2.0,62.6,6.8,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Imports,6.6,10.4,22.1,-13.2,1.6,23.9,-17.7,1.5,5.1,1.2,-10.4,11.6,17.9,6.0,7.1,15.5,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction of Trade  calendar year ($ million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Exports, total",0.8,0.7,0.7,3.0,9.2,2.2,8.5,8.0,5.9,4.9,2.4,3.6,4.6,6.4,9.1,9.9,10.5,24.9,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. Malaysia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3.7,2.3,3.5,7.2,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. Philippines,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.9,0.3,...,...,...,0.8,...,...,0.4,9.9,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3. Fiji,...,...,...,...,...,0.6,0.7,0.5,0.1,0.6,0.1,0.0,0.3,0.8,2.7,2.5,1.6,2.1,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4. United States,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.3,...,0.8,...,0.0,0.0,0.2,0.3,1.7,2.2,2.3,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5. Japan,...,...,...,...,...,...,0.0,0.0,0.3,0.0,0.0,...,0.0,0.2,0.5,1.5,0.4,0.6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6. New Zealand,...,...,...,...,...,...,...,...,0.0,0.0,0.2,0.1,0.1,0.3,0.1,0.1,1.5,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7. Bangladesh,...,...,...,...,...,0.1,...,...,...,...,...,...,...,0.1,...,...,...,1.2,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8. Australia,0.4,0.3,0.3,2.0,0.4,1.1,5.5,4.6,2.3,1.3,0.8,1.1,0.3,0.6,0.4,0.4,0.2,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9. Timor-Leste,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1.0,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10. Nauru,...,...,...,...,...,...,...,...,...,...,...,0.0,0.1,...,0.0,0.1,0.2,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Imports, total",35.2,34.3,66.4,38.9,41.4,52.6,41.1,57.0,45.4,44.1,65.4,81.7,110.2,98.8,120.3,113.9,118.9,127.0,99.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. Australia,21.3,22.4,28.5,25.7,25.5,31.5,27.6,35.5,24.3,25.7,24.8,33.5,26.4,26.0,27.4,22.2,25.6,31.0,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. Fiji,...,...,...,...,...,...,...,...,...,...,...,...,15.1,14.5,18.3,23.4,25.6,30.3,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3. New Zealand,2.6,1.5,3.8,4.8,4.6,5.8,4.2,5.4,3.2,4.7,4.1,4.9,7.1,12.8,9.9,12.3,9.6,12.9,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"4. China, People's Republic of",0.4,0.2,0.2,0.3,0.3,0.5,0.4,5.8,0.8,1.3,3.4,3.2,5.3,4.3,8.2,12.8,11.2,6.7,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5. Singapore,...,...,...,...,...,...,...,...,...,...,...,...,16.7,20.5,12.3,8.5,8.9,5.0,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6. Japan,3.6,0.7,3.1,1.1,2.3,5.2,1.2,2.6,2.2,3.4,14.8,13.0,22.9,4.2,14.7,6.4,8.6,5.7,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7. United States,4.0,5.5,3.5,1.3,1.3,2.1,1.2,1.2,6.8,0.7,8.7,16.5,4.3,4.9,4.4,2.3,1.6,7.0,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8. Vanuatu,...,...,...,...,...,...,...,...,...,...,...,...,0.8,0.6,1.3,1.5,5.7,6.3,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9. Thailand,0.1,0.1,0.4,0.6,1.0,2.0,1.1,1.2,1.3,1.1,1.4,1.7,0.6,1.3,3.3,2.7,3.5,4.4,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10. Viet Nam,...,...,...,...,...,...,...,...,...,...,...,...,0.6,0.7,0.7,1.2,4.0,3.5,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BALANCE OF PAYMENTSad    calendar year (A$ million) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Current account balance,-3.7,8.2,3.8,-20.3,-34.6,-47.5 |,-18.8,-8.5,-10.9,-22.5,0.2,-16.8,3.5,-8.5,62.4,74.8,25.1,91.9,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Balance on goodsae,-60.8,-67.6,-84.3,-73.2,-75.8,-92.2 |,-76.0,-68.1,-75.0,-76.2,-69.6,-74.8,-90.7,-100.5,-104.0,-119.3,-128.4,-128.1,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Exports,7.2,7.5,7.3,6.5,5.1,8.0 |,…,…,…,…,7.3,11.1,9.8,8.3,12.8,14.7,15.6,19.9,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Imports,-68.0,-75.1,-91.7,-79.7,-80.9,-100.2 |,…,…,…,…,76.8,86.0,100.5,108.8,116.7,134.0,144.0,148.0,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Balance on services,-31.9,-31.0,-31.9,-31.4,-29.6,-44.5 |,-38.7,-43.8,-46.7,-43.7,-43.3,-52.6,-50.5,-56.4,-74.0,-89.7,-88.3,-87.3,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Credit,7.8,8.8,15.7,15.7,10.9,11.7 |,…,…,…,…,13.6,13.9,15.7,14.7,14.0,20.9,30.6,18.5,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Debit,-39.8,-39.8,-47.6,-47.1,-40.5,-56.2 |,…,…,…,…,56.9,66.5,66.1,71.1,88.0,110.6,118.9,105.8,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Balance on primary income,70.2,87.2,81.1,60.3,61.0,61.0 |,62.8,69.8,77.0,64.9,79.9,67.3,95.3,123.7,175.7,241.1,187.8,223.2,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Credit,72.2,88.6,83.4,61.9,63.4,64.5 |,…,…,…,…,83.5,69.9,98.7,128.3,181.8,242.9,194.6,228.5,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Debit,-2.0,-1.3,-2.3,-1.6,-2.4,-3.6 |,…,…,…,…,3.6,2.6,3.4,4.7,6.0,1.8,6.7,5.3,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Balance on secondary income,18.8,19.6,39.0,24.1,9.8,28.3 |,33.1,33.7,33.8,32.6,33.2,43.4,49.3,24.7,64.7,42.7,54.0,84.1,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Credit,21.5,22.4,41.9,28.4,14.1,32.4 |,…,…,…,…,35.1,45.4,51.7,27.8,67.8,45.6,57.8,87.8,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Debit,-2.7,-2.8,-2.9,-4.3,-4.3,-4.1 |,…,…,…,…,1.9,2.1,2.4,3.1,3.1,2.9,3.8,3.7,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capital account,14.9,17.1,36.7,23.1,11.2,26.1 |,10.1,10.4,9.9,16.0,5.1,8.8,11.8,36.2,42.8,43.6,66.7,41.6,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Credit,14.9,17.1,36.7,23.1,11.2,26.1 |,…,…,…,…,10.1,13.5,15.5,36.8,52.3,45.1,68.3,44.2,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Debit,–,–,–,–,–,– |,…,…,…,…,5.1,4.7,3.7,0.6,9.5,1.5,1.6,2.6,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Financial account,32.0,8.9,20.3,15.4,-4.2,3.6 |,-0.7,5.5,-12.2,-4.4,-8.0,-1.2,22.5,22.8,105.3,-44.5,39.8,68.7,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Direct investment,-1.0,-0.8,-0.8,-1.2,-1.4,-6.1 |,-0.7,-1.4,1.5,-6.7,7.3,0.4,2.4,-0.6,-2.7,1.2,-2.2,-0.8,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Portfolio investment,49.1,9.6,21.0,16.7,-2.9,9.7 |,–,4.0,4.6,4.7,0.8,-5.2,4.4,1.4,2.1,1.7,4.6,-0.5,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Financial derivatives,…,…,…,…,…,…,…,…,…,…,...,...,...,–,–,–,–,–,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Other investment,-16.1,–,–,–,–,– |,–,2.9,-18.3,-2.4,-16.1,3.6,15.8,22.0,106.0,-47.4,37.4,70.0,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net errors and omissions,-20.8,16.5,20.2,-12.7,-19.2,-25.0 |,-4.7,-13.3,-3.4,13.4,-12.0,2.9,-18.8,8.6,10.4,-14.9,11.3,-0.3,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Overall balance,22.4,50.7,81.0,5.5,-46.8,-42.9 |,-12.7,-16.9,7.8,11.3,1.2,-3.9,-26.1,13.4,10.3,147.9,63.3,64.6,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reserves and related items,-22.4,-50.7,-81.0,-5.5,46.8,42.9 |,-12.7,-16.9,7.8,11.3,1.2,-3.9,-26.1,13.4,10.3,147.9,63.3,64.6,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,International investment position,…,…,…,586.7,704.3,741.5 |,…,…,…,…,679.6,676.2,729.6,725.9,898.0,"1,003.6","1,139.9","1,327.5",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Balance of Payments   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Exports,6.2,6.3,5.5,4.7,3.6,5.5,...,...,...,...,4.3,6.3,5.4,4.4,6.4,6.5,6.5,8.2* ,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Imports,-58.4,-63.2,-69.0,-57.3,-58.4,-68.3,...,...,...,...,45.1,48.8,54.7,56.8,58.6,58.9,60.0,61.1* ,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Balance on goods,-52.2,-57.0,-63.5,-52.6,-54.7,-62.8,-51.9,-43.0,-44.6,-44.9,-40.9,-42.5,-49.4,-52.4,-52.2,-52.4,-53.5,-52.9* ,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Current account balance,-3.2,6.9,2.9,-14.6,-25.0,-32.4,-12.8,-5.4,-6.5,-13.3,0.1,-9.5,1.9,-4.5,31.3,32.8,10.5,38.0* ,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Overall balance,19.2,42.7,61.0,4.0,-33.8,-29.2,...,...,...,...,0.7,-2.2,-14.2,7.0,5.2,64.9,26.4,26.7* ,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INTERNATIONAL RESERVES    as of end of period ($ million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,8.2,8.2,8.2,8.3,7.8,7.5,7.3,7.7,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     Gold, national valuation",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Foreign exchange,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Reserve position in the IMF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     SDRs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,8.2,8.2,8.2,8.3,7.8,7.5,5.4,5.7,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EXCHANGE RATES   (A$–$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,End of period,1.805,1.958,1.766,1.333,1.284,1.363,1.264,1.134,1.443,1.115,0.984,0.985,0.961,1.128,1.219,1.369,1.382,1.282,1.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average of period,1.725,1.933,1.841,1.542,1.360,1.309,1.328,1.195,1.192,1.282,1.090,0.969,0.966,1.036,1.109,1.331,1.345,1.305,1.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EXTERNAL INDEBTEDNESS   as of end of year  ($ million) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
