JAPAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,
,Taxes payable by corporations and other enterprises,3.8,3.6,3.2,3.2,3.7,4.3,4.9,4.9,3.8,2.6,3.2,3.4,3.7,4.2,4.5,4.3,4.2,4.5,…,,,,,,,,,,,,,,,,,,,,,,
,Total expenditure,37.0,36.6,36.8,36.3,35.1,35.1,34.6,34.6,36.2,40.2,39.1,40.4,40.2,40.4,39.8,39.0,38.8,38.5,…,,,,,,,,,,,,,,,,,,,,,,
,Net lending/borrowing,-6.5,-6.3,-7.8,-7.1,-5.1,-4.0,-3.0,-2.7,-5.4,-10.2,-8.9,-9.0,-8.2,-7.2,-5.0,-3.4,-3.4,-2.8,…,,,,,,,,,,,,,,,,,,,,,,
,Primary balance,-3.4,-3.3,-5.1,-4.5,-2.7,-1.8,-0.7,-0.4,-3.0,-7.9,-6.6,-6.7,-6.0,-5.0,-2.8,-1.3,-1.4,-0.9,…,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Expenditure by Function, General Government",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Total expenditure,…,…,…,…,…,"94,950","94,502","95,881","95,339","96,556","98,153","99,742","100,358","101,847","104,253","105,949","106,406","107,565",…,,,,,,,,,,,,,,,,,,,,,,
,          General public services,…,…,…,…,…,"10,947","10,562","10,140","9,679","9,214","10,189","9,318","8,787","8,721","8,685","8,913","8,936","8,675",…,,,,,,,,,,,,,,,,,,,,,,
,          Defense,…,…,…,…,…,"4,224","4,210","4,223","4,165","4,210","4,165","4,238","4,299","4,340","4,530","4,463","4,430","4,420",…,,,,,,,,,,,,,,,,,,,,,,
,          Public order and safety,…,…,…,…,…,"5,931","6,030","6,058","5,964","6,022","5,755","5,926","5,930","5,920","6,237","6,311","6,245","6,202",…,,,,,,,,,,,,,,,,,,,,,,
,          Economic affairs,…,…,…,…,…,"12,918","12,851","13,160","12,903","13,126","12,624","12,626","12,596","13,098","13,165","12,869","12,944","13,131",…,,,,,,,,,,,,,,,,,,,,,,
,          Environmental protection,…,…,…,…,…,"3,630","3,372","3,323","3,282","3,098","3,012","3,051","2,962","2,884","3,234","3,369","3,560","3,430",…,,,,,,,,,,,,,,,,,,,,,,
,          Housing and community amenities,…,…,…,…,…,"1,882","1,912","1,954","1,948","1,968","1,919","1,809","1,767","1,930","1,855","1,883","1,922","2,041",…,,,,,,,,,,,,,,,,,,,,,,
,          Health,…,…,…,…,…,"30,356","30,383","31,358","31,759","32,998","34,368","35,532","36,250","37,001","37,794","39,182","39,219","40,135",…,,,,,,,,,,,,,,,,,,,,,,
,"          Recreation, culture, and religion",…,…,…,…,…,"1,510","1,491","1,476","1,395","1,356","1,346","1,363","1,346","1,343","1,477","1,530","1,581","1,604",…,,,,,,,,,,,,,,,,,,,,,,
,          Education,…,…,…,…,…,"14,203","14,310","14,365","14,096","13,947","13,946","14,014","14,036","13,844","14,102","13,992","13,791","13,871",…,,,,,,,,,,,,,,,,,,,,,,
,          Social protection,…,…,…,…,…,"9,351","9,381","9,827","10,147","10,616","10,830","11,865","12,387","12,764","13,175","13,438","13,778","14,056",…,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Expenditure by Function   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Health,…,…,…,…,…,5.8,5.8,5.9,6.1,6.7,6.9,7.2,7.3,7.4,7.4,7.4,7.3,7.4,…,,,,,,,,,,,,,,,,,,,,,,
,Education,…,…,…,…,…,2.7,2.7,2.7,2.7,2.8,2.8,2.9,2.8,2.8,2.7,2.6,2.6,2.5,…,,,,,,,,,,,,,,,,,,,,,,
,Social protection,…,…,…,…,…,1.8,1.8,1.8,1.9,2.2,2.2,2.4,2.5,2.5,2.6,2.5,2.6,2.6,…,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EXTERNAL TRADE   calendar year (¥ billion),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Exports, fob ","51,654","48,979","52,109","54,548","61,170","65,657","75,246","83,931","81,018","54,171","67,400","65,546","63,748","69,774","73,093","75,614","70,036","78,286","81,479",,,,,,,,,,,,,,,,,,,,,,
,"Imports, cif ","40,938","42,416","42,228","44,362","49,217","56,949","67,344","73,136","78,955","51,499","60,765","68,111","70,689","81,243","85,909","78,406","66,042","75,379","82,703",,,,,,,,,,,,,,,,,,,,,,
,     Trade balance,"10,716","6,564","9,881","10,186","11,953","8,707","7,902","10,796","2,063","2,671","6,635","-2,565","-6,941","-11,468","-12,816","-2,792","3,994","2,907","-1,225",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               External Trade   (% annual change),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Exports,8.6,-5.2,6.4,4.7,12.1,7.3,14.6,11.5,-3.5,-33.1,24.4,-2.7,-2.7,9.5,4.8,3.4,-7.4,11.8,4.1,,,,,,,,,,,,,,,,,,,,,,
,               Imports,16.1,3.6,-0.4,5.1,10.9,15.7,18.3,8.6,8.0,-34.8,18.0,12.1,3.8,14.9,5.7,-8.7,-15.8,14.1,9.7,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction of Trade   calendar year ($ million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Exports, total","478,363","403,524","416,797","471,916","565,822","594,889","646,798","714,267","782,049","580,719","769,773","822,564","798,620","714,613","690,213","624,801","644,933","698,073","735,659",,,,,,,,,,,,,,,,,,,,,,
,     1. United States,"144,009","122,701","120,198","117,384","128,606","136,002","147,230","145,575","138,932","95,343","120,483","127,774","142,053","134,398","130,571","126,372","130,429","135,076","139,504",,,,,,,,,,,,,,,,,,,,,,
,"     2. China, People's Republic of","30,356","30,948","39,958","57,480","73,917","80,005","92,789","109,297","124,969","109,632","149,626","161,818","144,203","129,052","126,347","109,216","113,877","132,817","144,022",,,,,,,,,,,,,,,,,,,,,,
,"     3. Korea, Republic of","30,703","25,292","28,612","34,823","44,247","46,678","50,290","54,269","59,425","47,237","62,270","66,007","61,515","56,503","51,525","44,030","46,240","53,311","52,407",,,,,,,,,,,,,,,,,,,,,,
,"     4. Taipei,China","35,977","24,256","26,312","31,320","42,015","43,759","44,106","44,874","46,042","36,428","52,395","50,802","46,006","41,617","39,990","36,939","39,353","40,645","42,200",,,,,,,,,,,,,,,,,,,,,,
,"     5. Hong Kong, China","27,187","23,252","25,432","29,918","35,414","36,019","36,437","38,909","40,287","31,875","42,303","42,924","41,051","37,348","38,085","34,999","33,637","35,444","34,582",,,,,,,,,,,,,,,,,,,,,,
,     6. Thailand,"13,634","11,873","13,217","16,043","20,274","22,563","22,907","25,610","29,495","22,259","34,222","37,486","43,695","35,985","31,367","27,985","27,414","29,437","31,967",,,,,,,,,,,,,,,,,,,,,,
,     7. Singapore,"20,830","14,713","14,183","14,858","17,976","18,529","19,492","21,821","26,631","20,702","25,226","27,231","23,290","20,962","20,999","19,867","19,805","22,649","23,184",,,,,,,,,,,,,,,,,,,,,,
,     8. Germany,"19,998","15,652","14,126","16,412","18,972","18,742","20,415","22,629","23,987","16,653","20,316","23,486","20,798","18,931","19,102","16,235","17,654","18,946","21,057",,,,,,,,,,,,,,,,,,,,,,
,     9. Australia,"8,580","7,693","8,318","9,966","11,818","12,513","12,579","14,223","17,291","12,186","15,869","17,880","18,419","16,953","14,213","12,844","14,169","16,014","16,875",,,,,,,,,,,,,,,,,,,,,,
,   10. Viet Nam,"1,975","1,777","2,135","2,623","3,181","3,590","4,140","5,682","7,825","6,518","8,178","9,601","10,729","10,522","11,777","12,530","13,014","15,057","16,244",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Imports, total","379,581","349,092","337,180","382,964","454,823","515,218","578,746","621,915","762,590","551,960","694,052","854,998","886,036","832,343","812,222","647,990","606,871","671,183","750,821",,,,,,,,,,,,,,,,,,,,,,
,"     1. China, People's Republic of","55,156","57,780","61,792","75,559","94,335","108,439","118,444","127,760","143,678","122,536","153,369","183,903","188,495","180,785","180,889","160,598","156,561","164,354","175,219",,,,,,,,,,,,,,,,,,,,,,
,     2. United States,"72,514","63,713","58,589","59,891","63,605","65,447","69,329","72,264","78,975","60,487","69,027","76,173","78,231","71,939","73,057","68,322","69,303","73,836","83,936",,,,,,,,,,,,,,,,,,,,,,
,     3. Australia,"14,774","14,385","13,986","15,005","19,404","24,406","27,776","31,060","47,683","34,737","45,188","56,733","56,509","50,970","48,127","34,817","30,410","38,985","45,498",,,,,,,,,,,,,,,,,,,,,,
,     4. Saudi Arabia,"14,188","12,316","11,638","14,565","18,484","28,575","36,986","35,593","50,847","29,204","35,879","50,506","54,782","49,874","47,537","25,067","19,584","27,743","32,595",,,,,,,,,,,,,,,,,,,,,,
,"     5. Korea, Republic of ","20,454","17,221","15,497","17,931","22,063","24,398","27,385","27,300","29,505","21,986","28,649","39,787","40,526","35,839","33,377","26,812","25,018","28,115","31,824",,,,,,,,,,,,,,,,,,,,,,
,     6. United Arab Emirates,"14,815","12,850","11,607","14,327","18,324","25,175","31,720","32,550","46,763","22,723","29,276","42,816","43,991","42,508","41,730","23,513","17,301","20,731","26,456",,,,,,,,,,,,,,,,,,,,,,
,"     7. Taipei,China","17,891","14,180","13,553","14,264","16,663","18,064","20,270","19,822","21,828","18,343","23,083","23,222","24,079","23,705","24,267","23,275","22,952","25,386","27,927",,,,,,,,,,,,,,,,,,,,,,
,     8. Germany,"12,733","12,391","12,437","14,227","17,086","17,870","18,311","19,431","20,893","16,764","19,288","23,307","24,720","23,777","24,119","20,276","22,035","23,426","25,840",,,,,,,,,,,,,,,,,,,,,,
,  9. Thailand,"10,595","10,353","10,507","11,890","14,098","15,574","17,037","18,289","20,815","16,029","21,033","24,492","23,646","22,025","21,745","20,422","20,144","22,722","25,337",,,,,,,,,,,,,,,,,,,,,,
,   10. Malaysia,"14,490","12,824","11,173","12,593","14,093","14,686","15,587","17,353","23,244","16,732","22,715","30,450","32,873","29,768","29,180","21,529","17,291","19,265","18,847",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BALANCE OF PAYMENTSw   calendar year ($ million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Current account balance,"130,484","86,008","109,130","139,092","182,027","169,915","174,814","211,874","143,951","145,266","220,811","130,331","59,706","45,664","37,015","136,474","196,621","201,547","174,114",,,,,,,,,,,,,,,,,,,,,,
,Balance on goods,"117,833","72,797","96,669","107,503","133,313","106,799","95,186","120,482","56,145","57,578","108,407","-4,138","-53,539","-89,896","-98,780","-7,322","50,716","43,786","10,853",,,,,,,,,,,,,,,,,,,,,,
,     Exports,"454,355","378,813","390,012","442,749","533,339","571,680","619,324","679,583","750,889","546,345","733,555","788,969","776,493","694,999","699,181","621,874","635,085","688,742","735,860",,,,,,,,,,,,,,,,,,,,,,
,     Imports,"336,522","306,016","293,343","335,246","400,026","464,881","524,138","559,101","694,744","488,767","625,148","793,107","830,033","784,895","797,961","629,196","584,368","644,956","725,008",,,,,,,,,,,,,,,,,,,,,,
,Balance on services,"-48,888","-46,367","-45,077","-35,433","-39,073","-37,001","-32,021","-37,043","-37,860","-34,869","-30,290","-34,833","-47,762","-35,643","-28,633","-15,950","-10,375","-6,158","-7,303",,,,,,,,,,,,,,,,,,,,,,
,     Credit,"69,429","64,663","65,911","77,779","97,757","102,029","109,387","121,496","141,011","120,865","134,413","140,827","136,939","135,227","163,789","162,637","175,807","186,879","193,579",,,,,,,,,,,,,,,,,,,,,,
,     Debit,"118,318","111,030","110,988","113,212","136,830","139,030","141,409","158,539","178,870","155,734","164,703","175,659","184,702","170,870","192,422","178,587","186,183","193,037","200,881",,,,,,,,,,,,,,,,,,,,,,
,Balance on primary income,"71,372","67,481","62,290","74,524","95,652","107,517","122,337","139,968","138,742","134,991","155,130","183,204","175,352","181,338","183,254","175,996","176,002","182,882","188,890",,,,,,,,,,,,,,,,,,,,,,
,     Credit,"110,152","101,153","87,992","98,932","122,999","146,393","172,175","199,505","193,479","175,697","201,805","233,781","229,714","241,646","256,409","248,720","264,952","278,757","297,313",,,,,,,,,,,,,,,,,,,,,,
,     Debit,"38,780","33,672","25,702","24,408","27,347","38,876","49,838","59,536","54,737","40,706","46,675","50,577","54,362","60,307","73,155","72,725","88,949","95,875","108,423",,,,,,,,,,,,,,,,,,,,,,
,Balance on secondary income,"-9,832","-7,903","-4,752","-7,502","-7,864","-7,400","-10,687","-11,534","-13,076","-12,434","-12,437","-13,903","-14,344","-10,136","-18,826","-16,249","-19,722","-18,963","-18,325",,,,,,,,,,,,,,,,,,,,,,
,     Credit,"7,368","6,148","10,197","6,520","6,898","9,742","6,182","6,760","9,113","9,523","10,099","13,059","14,884","15,781","16,587","16,958","17,947","20,048","21,910",,,,,,,,,,,,,,,,,,,,,,
,     Debit,"17,200","14,051","14,949","14,022","14,762","17,142","16,870","18,293","22,189","21,957","22,535","26,962","29,229","25,916","35,413","33,207","37,669","39,011","40,235",,,,,,,,,,,,,,,,,,,,,,
,Capital account,"-9,230","-2,848","-3,363","-4,030","-4,745","-4,981","-4,758","-4,017","-5,402","-4,973","-4,946",354,"-1,007","-7,619","-1,972","-2,242","-6,832","-2,496","-1,925",,,,,,,,,,,,,,,,,,,,,,
,     Credit,781,994,918,398,446,855,754,700,633,"1,113",888,"7,466","5,974","1,183",446,238,496,633,623,,,,,,,,,,,,,,,,,,,,,,
,     Debit,"10,010","3,842","4,281","4,428","5,191","5,835","5,512","4,717","6,035","6,086","5,834","7,112","6,981","8,802","2,417","2,480","7,329","3,129","2,548",,,,,,,,,,,,,,,,,,,,,,
,Financial account,"89,220","46,298","60,611","-67,649","-10,857","126,006","106,018","187,511","149,479","140,031","204,117","-14,540","90,788","-43,640","50,860","175,567","268,252","142,542","157,085",,,,,,,,,,,,,,,,,,,,,,
,     Direct investment,"34,241","30,447","19,405","25,569","33,079","46,910","60,354","51,126","86,342","61,232","71,213","116,658","117,296","145,969","118,813","133,273","136,578","153,706","133,332",,,,,,,,,,,,,,,,,,,,,,
,     Portfolio investment,"35,698","46,319","104,863","98,963","-21,631","9,708","-127,224","-70,074","272,727","213,193","144,695","-169,465","30,624","-272,196","-45,618","132,426","272,532","-50,383","90,367",,,,,,,,,,,,,,,,,,,,,,
,     Financial derivatives,"4,723","-1,524","-2,097","-5,240","-2,394","7,279","-2,438","-2,759","-23,764","-10,139","-11,690","-16,878","7,399","56,884","35,532","17,712","-15,241","30,778","1,067",,,,,,,,,,,,,,,,,,,,,,
,     Other investment,"14,558","-28,944","-61,560","-186,942","-19,911","62,109","175,326","209,217","-185,825","-124,255",-101,"55,146","-64,531","25,703","-57,866","-107,844","-125,617","8,441","-67,681",,,,,,,,,,,,,,,,,,,,,,
,Net errors and omissions,"16,784","3,758","1,075","-17,011","-28,541","-16,642","-32,056","16,149","41,892","26,739","31,456","27,565","-6,155","-42,232","24,216","46,498","73,151","-32,867","9,015",,,,,,,,,,,,,,,,,,,,,,
,Overall balance,"48,818","40,619","46,232","185,700","159,599","22,285","31,983","36,495","30,961","27,001","43,205","172,789","-38,244","39,452","8,399","5,164","525,878","332,366","362,410",,,,,,,,,,,,,,,,,,,,,,
,Reserves and related items,"-48,818","-40,619","-46,232","-185,700","-159,599","-22,285","-31,983","-36,495","-30,961","-27,001","-43,205","-172,789","38,244","-39,452","-8,399","-5,164","-525,878","-332,366","-362,410",,,,,,,,,,,,,,,,,,,,,,
,International investment position,"123,460","147,501","139,813","149,067","171,728","163,947","184,938","212,495","218,567","286,679","291,532","332,979","375,109","333,756","343,017","280,243","309,125","293,584","309,381",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Balance of Payments   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Exports,9.3,8.8,9.5,10.0,11.1,12.0,13.7,15.1,14.9,10.4,12.9,12.8,12.5,13.5,14.4,14.2,12.9,14.2,14.8,,,,,,,,,,,,,,,,,,,,,,
,               Imports,6.9,7.1,7.1,7.5,8.3,9.8,11.6,12.4,13.8,9.3,11.0,12.9,13.4,15.2,16.5,14.3,11.9,13.3,14.6,,,,,,,,,,,,,,,,,,,,,,
,               Balance on goods,2.4,1.7,2.3,2.4,2.8,2.2,2.1,2.7,1.1,1.1,1.9,-0.1,-0.9,-1.7,-2.0,-0.2,1.0,0.9,0.2,,,,,,,,,,,,,,,,,,,,,,
,               Current account balance,2.7,2.0,2.7,3.1,3.8,3.6,3.9,4.7,2.9,2.8,3.9,2.1,1.0,0.9,0.8,3.1,4.0,4.1,3.5,,,,,,,,,,,,,,,,,,,,,,
,               Overall balance,1.0,0.9,1.1,4.2,3.3,0.5,0.7,0.8,0.6,0.5,0.8,2.8,-0.6,0.8,0.2,0.1,10.7,6.8,7.3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INTERNATIONAL RESERVES   calendar year ($ million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,"361,639","401,958","469,728","673,530","844,667","846,896","895,320","973,364","1,030,646","1,049,397","1,096,185","1,295,841","1,268,125","1,266,815","1,260,548","1,233,214","1,216,903","1,264,283","1,270,975",,,,,,,,,,,,,,,,,,,,,,
,"     Gold, national valuation","6,737","6,803","8,542","10,241","10,776","12,621","15,639","20,580","21,281","27,161","34,695","37,666","40,939","29,560","29,504","26,134","28,516","31,897","31,531",,,,,,,,,,,,,,,,,,,,,,
,     Foreign exchange,"347,212","387,727","451,458","652,790","824,264","828,813","874,596","947,987","1,003,300","996,552","1,035,817","1,220,785","1,193,077","1,202,443","1,199,651","1,179,004","1,157,790","1,202,071","1,208,958",,,,,,,,,,,,,,,,,,,,,,
,     Reserve position in the IMF,"5,253","5,051","7,203","7,733","6,701","2,877","1,934","1,395","2,658","4,313","4,608","17,181","13,697","14,202","11,993","9,531","12,019","10,582","11,464",,,,,,,,,,,,,,,,,,,,,,
,     SDRs,"2,437","2,377","2,524","2,766","2,802","2,584","2,812","3,033","3,032","20,968","20,626","19,745","19,910","20,130","18,896","18,047","18,087","19,195","18,484",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EXCHANGE RATES  (¥–$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,End of period,114.9,131.8,119.9,107.1,104.1,118.0,119.0,114.0,90.8,92.1,81.5,77.7,86.6,105.3,120.6,120.5,116.8,112.9,110.8,,,,,,,,,,,,,,,,,,,,,,
,Average of period,107.8,121.5,125.4,115.9,108.2,110.2,116.3,117.8,103.4,93.6,87.8,79.8,79.8,97.6,105.9,121.0,108.8,112.2,110.4,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EXTERNAL INDEBTEDNESSx   as of end of year ($ million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total debt outstanding and disbursed,…,…,…,"1,354,248","1,557,069","1,521,073","1,512,871","1,767,807","2,230,601","2,086,389","2,588,631","3,115,196","3,016,834","2,818,860","3,108,600","2,945,259","3,671,885","3,623,072","4,028,231",,,,,,,,,,,,,,,,,,,,,,
,     Long-term debt,…,…,…,"417,983","499,981","503,459","581,799","715,877","815,063","722,464","782,922","842,512","772,247","645,992","775,942","751,396","951,101","1,018,355","1,119,796",,,,,,,,,,,,,,,,,,,,,,
,          Public and publicly guaranteed,…,…,…,"169,561","232,021","261,753","311,686","419,140","458,248","385,900","449,355","526,698","508,585","421,985","508,948","497,713","633,518","667,761","737,976",,,,,,,,,,,,,,,,,,,,,,
,          Private nonguaranteed,…,…,…,"248,422","267,960","241,706","270,113","296,737","356,815","336,563","333,567","315,813","263,663","224,008","266,998","253,678","317,578","350,596","381,820",,,,,,,,,,,,,,,,,,,,,,
,     Short-term debt,…,…,…,"936,265","1,057,078","1,017,606","931,072","1,051,930","1,415,548","1,363,937","1,805,721","2,272,684","2,244,575","2,172,868","2,332,656","2,193,862","2,720,793","2,604,716","2,908,433",,,,,,,,,,,,,,,,,,,,,,
,     Use of IMF credit,…,…,…,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          External debt   (% of GNI),...,...,...,27.7,30.5,33.5,33.3,36.8,37.9,38.3,41.1,47.9,51.4,57.1,61.9,64.6,72.1,72.0,78.2,,,,,,,,,,,,,,,,,,,,,,
,          Total long-term debt   (% of total debt),…,…,…,30.9,32.1,33.1,38.5,40.5,36.5,34.6,30.2,27.0,25.6,22.9,25.0,25.5,25.9,28.1,27.8,,,,,,,,,,,,,,,,,,,,,,
,          Short-term debt   (% of total debt),…,…,…,69.1,67.9,66.9,61.5,59.5,63.5,65.4,69.8,73.0,74.4,77.1,75.0,74.5,74.1,71.9,72.2,,,,,,,,,,,,,,,,,,,,,,
,          Debt service   (% of exports of goods and services),…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"... = data not available; | = marks break in series; – = magnitude equals zero; 0.0 = magnitude is less than half of unit employed; $ = United States dollars; ¥ = yen; cif = cost, insurance, and freight; fob = free on board; GDP = gross domestic product; GNI = gross national income; IMF = International Monetary Fund; km2 = square kilometer; kWh = kilowatt-hour; L = liter; NPISHs = nonprofit institution serving households; SDRs = special drawing rights; t = metric ton.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,"Refers to total employed and unemployed persons aged 15 years and over. With the revision of the benchmark population to the 2015 Census-based population estimates, data from 2010 to 2018 have been adjusted to comparable time series data. Data from 2005 to 2010 are comparable time series data based on the 2010 Census-based benchmark . Data for 2011 are supplementary-estimated figures (referential figures: 2015 census base) because 2011 yearly average results for the whole of Japan were missing due to the damage caused by the Great East Japan Earthquake.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,"Refers to the 2011 benchmark revision (i) incorporating the 2011 input–output tables and other large-scale quinquennial source statistics; (ii) incorporating a change in base year from 2005 to 2011; (iii) implementing System of National Accounts 2008; (iv) incorporating changes in classifications, concepts, and definitions, as well as improvement in estimation methods in several areas, such as changes in clasification of economic activities, development of new estimation methodology utilizing the Supply and Use framework, and improvement of the estimation for measuring construction sector output.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,"Included in ""Other service activities"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d,Includes trading gains or losses.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e,Includes NPISHs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,Growth rates were not calculated because estimates across component sectors are not additive.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,"Refers to gross national savings, less net factor income from abroad, less net current transfers from abroad.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h,Refers to other net current transfers from the rest of the world.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,"Data refer to fiscal year; except for 2004 , for which data refer to calendar year (due to unavailability of fiscal year data).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j,"For 2003 and 2004, data are estimated using the average consumption rate of the past 5 years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k,Refers to domestic corporate goods price index excluding consumption tax.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l,"The Bank of Japan revised the compilation of money stock statistics starting in 2003. Composition of M1 money supply and quasi-money was revised in 2003; hence, M2 money supply from 2003 onward is equivalent to M3 money supply.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m,Includes certificates of deposit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,"From 2003 onward, data include claims on local government.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o,Refers to claims on other sectors.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p,"Refers to deposit money banks' quasi-money plus certificates of deposit, equal to the sum of time deposits, fixed savings, installment savings, and foreign currency deposits. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q,"Refers to liabilities to nonresidents, the central bank, the government, and other items (net).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,"Refers to claims on the central bank, the government, financial corporations, and other sectors including nonresidents. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,"Refers to savings deposits of at least ¥0.3 million, calculated as the arithmetic average of weekly figures.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,"Refers to time deposits from 6 months to less than 12 months, calculated as the arithmetic average of monthly figures.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,"Refers to time deposits from 12 months to less than 2 years, calculated as the arithmetic average of the monthly figures.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v,Follows the IMF's General Finance Statistics Manual 2014.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,Data follow the concepts used in the IMF's Balance of Payments and International Investment Position Manual (sixth edition). Figures were converted from yen to United States dollars using average exchange rates of the period from the IMF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Figures were converted from yen to United States dollars using end-of-period exchange rates from the IMF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
