PHILIPPINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,
,     Social contributions,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,,,,,,,,,,,,,,,,
,     Grants,1.4,2.0,1.1,1.2,0.1,0.1,0.2,0.2,0.1,0.2,0.4,0.3,0.1,0.3,0.2,0.2,0.1,0.0,... ,,,,,,,,,,,,,,,,
,     Other revenue,57.1,77.2,71.6,90.2,103.9,109.9,115.4,114.4,123.4,141.3,113.9,157.2,165.6,177.4,187.5,231.1,215.3,221.6,... ,,,,,,,,,,,,,,,,
,Expense,580.7,659.0,706.5,769.2,811.8,976.8,954.7,999.7,"1,093.3","1,217.4","1,296.5","1,371.7","1,498.2","1,591.5","1,693.3","1,879.2","2,033.1","2,253.9",... ,,,,,,,,,,,,,,,,
,     Compensation of employees,225.2,238.9,266.0,276.1,283.1,296.4,324.7,350.3,374.7,432.0,469.4,500.4,542.6,581.7,603.6,664.4,723.2,808.4,... ,,,,,,,,,,,,,,,,
,     Use of goods and services,80.0,88.0,83.4,78.5,83.8,84.8,100.0,64.1,138.7,187.5,182.1,201.2,256.7,282.9,308.7,403.4,419.8,465.4,... ,,,,,,,,,,,,,,,,
,     Consumption of fixed capital,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,,,,,,,,,,,,,,,,
,     Interest,163.0,199.6,200.7,241.8,278.4,315.6,323.3,277.3,282.9,288.9,302.8,283.0,316.5,324.8,324.0,313.7,308.2,310.5,... ,,,,,,,,,,,,,,,,
,     Subsidies,9.1,9.4,7.6,14.9,14.2,12.2,13.8,27.3,21.1,17.4,21.0,53.7,42.6,66.3,80.4,78.0,103.2,131.1,... ,,,,,,,,,,,,,,,,
,     Grants,99.8,118.9,140.5,144.7,145.3,157.0,174.7,193.7,223.0,264.6,279.6,315.1,298.3,317.3,344.2,387.6,449.8,530.2,... ,,,,,,,,,,,,,,,,
,     Social benefits,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,,,,,,,,,,,,,,,,
,     Other expense,3.6,4.3,8.3,13.1,7.0,110.9,18.2,87.0,53.0,26.9,41.6,18.2,41.4,18.6,32.3,32.1,28.9,8.3,... ,,,,,,,,,,,,,,,,
,Net operating balance,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,,,,,,,,,,,,,,,,
,Gross operating balance,-62.3,-86.2,-126.2,-127.4,-102.8,-161.2,20.7,47.8,79.4,-94.3,-88.6,-12.2,28.6,121.8,213.4,167.5,162.7,218.4,... ,,,,,,,,,,,,,,,,
,Transactions in Nonfinancial Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net/gross investment in nonfinancial assets,87.3,75.8,93.3,77.6,93.8,90.4,99.2,145.3,172.2,207.9,223.0,159.1,234.5,261.8,276.0,345.3,493.0,568.8,... ,,,,,,,,,,,,,,,,
,     Fixed assets,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,,,,,,,,,,,,,,,,
,     Inventories,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,,,,,,,,,,,,,,,,
,     Valuables,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,,,,,,,,,,,,,,,,
,     Nonproduced assets,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,,,,,,,,,,,,,,,,
,Expenditure,668.0,734.8,799.8,846.8,905.6,"1,067.2","1,053.9","1,145.0","1,265.5","1,425.3","1,519.5","1,530.8","1,732.7","1,853.4","1,969.3","2,224.5","2,526.1","2,822.6",... ,,,,,,,,,,,,,,,,
,Net lending/Net borrowing,-149.6,-162.0,-219.5,-205.0,-196.6,-251.6,-78.5,-97.5,-92.8,-302.2,-311.6,-171.3,-205.9,-140.0,-62.6,-177.8,-330.3,-350.3,... ,,,,,,,,,,,,,,,,
,Primary balance,13.4,37.6,-18.8,36.8,81.8,63.9,244.8,179.8,190.1,-13.3,-8.7,111.7,110.6,184.8,261.4,135.9,-22.2,-39.8,... ,,,,,,,,,,,,,,,,
,Transactions in Financial Assets and Liabilities (Financing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net acquisition of financial assets,51.2,11.4,58.2,81.8,79.8,21.3,37.5,39.4,34.6,-60.4,48.2,-47.1,388.8,91.1,51.1,-53.9,-231.3,255.7,... ,,,,,,,,,,,,,,,,
,     Domestic,51.2,11.4,58.2,81.8,79.8,21.3,37.5,39.4,34.6,-60.4,48.2,-47.1,388.8,91.1,51.1,-53.9,-231.3,255.7,... ,,,,,,,,,,,,,,,,
,     External,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,... ,,,,,,,,,,,,,,,,
,Net incurrence of liabilities,204.1,173.4,277.2,286.2,276.5,182.5,116.0,136.9,127.4,241.8,359.8,124.2,594.7,231.1,113.7,123.9,99.0,606.0,... ,,,,,,,,,,,,,,,,
,     Domestic,115.5,146.4,163.1,132.1,190.7,78.2,-6.4,76.5,114.5,89.3,226.8,70.7,488.9,313.2,98.9,58.0,123.1,578.5,... ,,,,,,,,,,,,,,,,
,     External,88.6,27.1,114.1,154.1,85.8,104.4,122.4,60.4,12.9,152.5,133.0,53.4,105.8,-82.1,14.7,65.9,-24.1,27.6,... ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Government Finance   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Revenue,14.5,14.7,13.8,14.1,13.8,14.4,15.6,15.2,15.2,14.0,13.4,14.0,14.5,14.8,15.1,15.4,15.2,15.6,... ,,,,,,,,,,,,,,,,
,               Taxes,12.8,12.7,12.1,12.1,11.8,12.4,13.7,13.5,13.6,12.2,12.1,12.4,12.9,13.3,13.6,13.6,13.7,14.2,... ,,,,,,,,,,,,,,,,
,               Taxes payable by individuals,2.3,2.1,2.1,2.0,2.0,2.1,2.1,2.0,2.0,1.7,1.9,2.0,2.1,2.1,2.2,2.3,2.4,2.5,... ,,,,,,,,,,,,,,,,
,               Taxes payable by corporations and other enterprises,2.4,2.5,2.4,2.5,2.6,2.7,3.1,3.5,3.7,3.2,3.1,3.5,3.5,3.7,3.6,3.7,3.7,3.7,... ,,,,,,,,,,,,,,,,
,               Expenditure,18.7,18.9,19.1,18.6,17.7,18.8,16.8,16.6,16.4,17.8,16.9,15.8,16.4,16.1,15.6,16.7,17.4,17.9,... ,,,,,,,,,,,,,,,,
,               Net lending/Net borrowing,-4.2,-4.2,-5.2,-4.5,-3.8,-4.4,-1.3,-1.4,-1.2,-3.8,-3.5,-1.8,-1.9,-1.2,-0.5,-1.3,-2.3,-2.2,... ,,,,,,,,,,,,,,,,
,               Primary balance,0.4,1.0,-0.4,0.8,1.6,1.1,3.9,2.6,2.5,-0.2,-0.1,1.2,1.0,1.6,2.1,1.0,-0.2,-0.3,... ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Expenditure by Functiont, Central Government",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total expenditure,682.5,707.1,742.0,825.1,867.0,947.6,"1,044.8","1,155.5","1,314.6","1,434.1","1,473.0","1,580.0","1,829.0","1,998.4","2,019.1","2,415.1","2,682.8","3,315.3","3,767.0",,,,,,,,,,,,,,,,
,General public services,218.9,256.0,271.2,320.7,352.6,414.3,425.1,407.9,445.7,463.5,477.3,496.0,558.3,566.7,934.1,"1,012.8","1,128.5","1,213.0","1,378.7",,,,,,,,,,,,,,,,
,Defense,36.2,36.0,38.9,44.4,42.7,47.6,51.5,62.2,62.0,63.0,91.5,71.0,74.4,87.8,74.8,78.9,95.8,134.9,127.4,,,,,,,,,,,,,,,,
,Public order and safety,47.2,44.0,50.2,52.6,53.3,56.2,63.8,72.0,79.5,93.4,107.1,102.0,113.9,115.1,150.4,174.1,156.6,227.0,195.4,,,,,,,,,,,,,,,,
,Economic affairs,167.2,156.5,151.3,169.9,168.2,173.9,221.9,293.2,359.1,402.5,381.3,366.1,490.2,516.7,346.0,445.5,482.0,578.8,693.0,,,,,,,,,,,,,,,,
,Environmental protection,,,,,,,,,,,,,,,5.0,5.4,6.5,8.6,22.6,,,,,,,,,,,,,,,,
,Housing and community amenities,8.3,1.8,0.8,3.0,1.6,3.0,6.1,7.9,9.4,8.4,7.1,22.3,12.0,32.2,4.7,12.3,11.8,14.8,6.1,,,,,,,,,,,,,,,,
,Health,14.7,12.9,14.5,12.4,14.5,13.9,16.1,18.2,18.6,23.4,31.0,40.5,52.4,56.9,89.0,109.3,126.5,162.8,172.8,,,,,,,,,,,,,,,,
,"Recreation, culture, and religion",,,,,,,,,,,,,,,4.2,5.9,5.7,6.5,6.6,,,,,,,,,,,,,,,,
,Education,116.8,117.1,125.4,129.0,128.8,131.2,144.2,167.4,186.6,208.7,225.1,254.4,279.4,327.0,284.3,387.5,459.2,657.5,705.8,,,,,,,,,,,,,,,,
,Social protection,73.2,82.9,89.8,93.1,105.3,107.4,116.1,126.6,153.7,171.3,152.6,227.7,248.4,296.0,126.5,183.6,210.3,311.4,458.7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,              Expenditure by Function   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Educationu,3.3,3.0,3.0,2.8,2.5,2.3,2.3,2.4,2.4,2.6,2.5,2.6,2.6,2.8,2.3,2.9,3.2,4.2,4.1,,,,,,,,,,,,,,,,
,               Health,0.4,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.2,0.3,0.3,0.4,0.5,0.5,0.7,0.8,0.9,1.0,1.0,,,,,,,,,,,,,,,,
,               Social Protection,2.0,2.1,2.1,2.0,2.1,1.9,1.9,1.8,2.0,2.1,1.7,2.3,2.4,2.6,1.0,1.4,1.5,2.0,2.6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Provincial and Other Local Governments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue ,138.0,138.1,159.7,177.3,178.9,197.9,225.8,237.0,275.1,311.0,336.6,366.1,367.9,389.6,436.1,505.7,604.1,664.9,674.9 *,,,,,,,,,,,,,,,,
,     Tax,30.1,32.8,38.5,41.8,43.5,50.1,54.8,56.8,62.8,67.7,71.1,81.1,92.9,96.3,108.3,119.6,181.6,206.5,163.2 *,,,,,,,,,,,,,,,,
,     Nontax,19.7,10.5,11.1,13.1,14.4,17.1,20.6,22.6,26.7,29.8,36.2,36.3,39.4,38.8,43.2,50.2,53.3,58.4,63.6 *,,,,,,,,,,,,,,,,
,     Subsidies and/or grants,88.2,94.8,110.1,122.4,121.0,130.7,150.4,157.6,185.5,213.5,229.3,248.6,235.6,254.4,284.5,336.0,369.2,400.0,448.1 *,,,,,,,,,,,,,,,,
,Expenditure,131.4,136.9,140.8,156.5,160.8,170.8,192.9,210.1,234.3,233.7,253.9,266.2,282.5,297.7,305.8,329.4,357.4,387.6,423.8 *,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EXTERNAL TRADE   calendar year ($ million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Exports, fob","38,078","32,150","35,208","36,231","39,681","41,255","47,410","50,466","49,078","38,436","51,498","48,305","52,100","56,698","62,102","58,827","57,406","68,713","69,307",,,,,,,,,,,,,,,,
,"Imports, fob","34,491","33,057","39,237","40,471","44,039","47,418","51,774","55,514","56,746","43,092","54,933","60,496","62,129","62,411","65,398","71,067","84,108","96,093","112,841",,,,,,,,,,,,,,,,
,     Trade balance,"3,587",-907,"-4,028","-4,239","-4,359","-6,163","-4,364","-5,048","-7,668","-4,656","-3,435","-12,191","-10,029","-5,713","-3,296","-12,240","-26,702","-27,380","-43,533",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,              External Trade   (% annual change),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Exports,8.7,-15.6,9.5,2.9,9.5,4.0,14.9,6.4,-2.8,-21.7,34.0,-6.2,7.9,8.8,9.5,-5.3,-2.4,19.7,0.9,,,,,,,,,,,,,,,,
,               Imports,12.2,-4.2,18.7,3.1,8.8,7.7,9.2,7.2,2.2,-24.1,27.5,10.1,2.7,0.5,4.8,8.7,18.3,14.2,17.4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction of Trade   calendar year ($ million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Exports, total","38,216","32,150","35,208","36,231","39,680","41,221","46,986","50,466","49,078","39,227","51,432","48,042","51,992","53,978","61,798","58,648","56,126","63,131","67,485",,,,,,,,,,,,,,,,
,     1. Japan,"5,609","5,057","5,293","5,768","7,983","7,203","7,741","7,304","7,707","6,392","7,827","8,866","9,881","11,423","13,919","12,381","11,674","10,230","9,474",,,,,,,,,,,,,,,,
,     2. United States,"11,406","8,994","8,691","7,275","7,209","7,429","8,608","8,601","8,216","6,924","7,568","7,107","7,406","7,832","8,733","8,811","8,671","9,215","10,550",,,,,,,,,,,,,,,,
,"     3. Hong Kong, China","1,907","1,580","2,359","3,094","3,146","3,339","3,676","5,804","4,987","3,297","4,334","3,699","4,776","4,418","5,594","6,199","6,583","8,645","9,554",,,,,,,,,,,,,,,,
,"     4. China, People's Republic of",663,793,"1,356","2,145","2,653","4,077","4,617","5,750","5,469","2,986","5,702","6,102","6,159","6,583","8,022","6,393","6,192","6,993","8,699",,,,,,,,,,,,,,,,
,     5. Singapore,"3,124","2,308","2,472","2,431","2,631","2,706","3,449","3,139","2,607","2,616","7,331","4,278","4,861","4,014","4,454","3,650","3,701","3,868","4,234",,,,,,,,,,,,,,,,
,     6. Germany,"1,329","1,323","1,386","1,219","1,436","1,346","1,775","2,149","2,440","2,579","2,657","1,729","1,957","2,167","2,660","2,646","2,293","2,621","2,809",,,,,,,,,,,,,,,,
,"     7. Korea, Republic of","1,173","1,044","1,339","1,314","1,113","1,391","1,408","1,784","2,523","1,862","2,228","2,196","2,862","3,126","2,532","2,512","2,095","2,540","2,542",,,,,,,,,,,,,,,,
,     8. Thailand,"1,206","1,358","1,083","1,234","1,064","1,169","1,325","1,403","1,509","1,275","1,784","1,904","2,446","1,936","2,352","2,263","2,130","2,645","2,717",,,,,,,,,,,,,,,,
,"     9. Taipei,China","2,861","2,127","2,485","2,492","2,228","1,887","2,008","1,973","1,862","1,351","1,752","2,003","1,915","1,801","2,446","2,177","1,863","2,279","2,474",,,,,,,,,,,,,,,,
,     10. Netherlands,"2,982","2,976","3,055","2,922","3,583","4,032","4,753","4,150","3,708","3,712","2,429","1,745","1,551","1,692","1,892","1,772","1,716","2,467","2,481",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Imports, total","34,491","33,057","35,426","37,505","44,039","47,415","51,533","55,514","60,420","45,878","60,193","66,159","67,886","68,014","70,976","73,355","91,428","92,839","120,450",,,,,,,,,,,,,,,,
,"     1. China, People's Republic of",786,975,"1,252","1,797","2,659","2,973","3,672","4,001","4,561","4,060","5,070","6,665","7,329","8,837","10,662","11,915","15,916","16,832","22,579",,,,,,,,,,,,,,,,
,     2. Japan,"6,511","6,633","7,233","7,640","7,674","8,071","7,004","6,842","7,122","5,765","7,422","7,161","7,091","5,739","5,712","7,023","10,196","10,555","11,397",,,,,,,,,,,,,,,,
,     3. United States,"6,413","6,412","7,289","7,407","8,276","9,105","8,404","7,843","7,738","5,488","6,452","7,156","7,833","7,358","6,199","7,940","7,681","7,418","8,297",,,,,,,,,,,,,,,,
,"     4. Korea, Republic of","2,754","2,082","2,754","2,401","2,740","2,294","3,218","3,278","3,129","3,161","4,210","4,832","4,955","5,280","5,547","4,771","5,623","8,073","11,503",,,,,,,,,,,,,,,,
,     5. Thailand,879,925,"1,052","1,361","1,572","1,583","2,089","2,277","2,998","2,596","4,253","3,808","3,791","3,719","3,781","4,664","6,726","6,603","7,948",,,,,,,,,,,,,,,,
,     6. Singapore,"2,325","2,073","2,311","2,542","3,421","3,727","4,356","6,219","6,218","3,931","5,703","5,382","4,843","4,650","4,972","5,146","5,597","5,473","6,311",,,,,,,,,,,,,,,,
,"     7. Taipei,China","2,255","1,970","1,784","1,861","3,214","3,549","4,145","4,062","4,038","3,184","4,045","4,586","5,316","5,367","4,838","5,787","5,519","4,914","5,412",,,,,,,,,,,,,,,,
,     8. Indonesia,693,760,765,829,939,"1,003",990,"1,250","1,602","1,915","2,459","2,610","3,006","2,980","3,300","3,222","4,708","6,305","6,789",,,,,,,,,,,,,,,,
,     9. Malaysia,"1,307","1,080","1,293","1,359","1,981","1,779","2,100","2,283","2,583","1,787","2,682","2,899","2,743","2,517","3,400","3,481","3,417","3,621","4,286",,,,,,,,,,,,,,,,
,     10. Germany,771,792,708,927,"1,196","1,131","1,374","1,244","1,148","1,008","1,223","1,561","1,567","2,581","2,955","2,761","2,010","1,924","2,493",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BALANCE OF PAYMENTSv   calendar year ($ million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Current account,"-2,228","-1,750",-282,285,"1,625 |","1,990","6,963","8,072",144,"8,448","7,179","5,643","6,949","11,384","10,756","7,266","-1,199","-2,143","-7,879 *",,,,,,,,,,,,,,,,
,    Balance on goodsw,"-5,971","-6,265","-5,530","-5,851","-5,684 |","-12,146","-11,459","-13,966","-18,646","-13,860","-16,859","-20,428","-18,926","-17,662","-17,330","-23,309","-35,549","-40,215","-49,036 *",,,,,,,,,,,,,,,,
,        Exports,"37,347","31,313","34,403","35,339","38,794 |","25,162","30,734","32,803","34,679","29,143","36,772","38,276","46,384","44,512","49,824","43,197","42,734","51,814","51,674 *",,,,,,,,,,,,,,,,
,        Imports,"-43,318","-37,578","-39,933","-41,190","-44,478 |","-37,307","42,194","46,769","53,324","43,003","53,631","58,705","65,310","62,174","67,154","66,506","78,283","92,029","100,710 *",,,,,,,,,,,,,,,,
,    Balance on services,"-1,870","-2,288","-2,002","-1,963","-1,777 |","2,148","4,477","5,958","1,971","4,898","5,765","6,562","6,179","7,015","4,576","5,455","7,043","8,693","10,493 *",,,,,,,,,,,,,,,,
,        Credit,"3,377","3,072","3,428","3,389","4,043 |","8,611","11,064","13,502","13,055","14,084","17,782","18,878","20,439","23,335","25,498","29,065","31,204","34,832","37,469 *",,,,,,,,,,,,,,,,
,        Debit,"-5,247","-5,360","-5,430","-5,352","-5,820 |","-6,463","6,587","7,544","11,084","9,186","12,017","12,316","14,261","16,320","20,922","23,610","24,160","26,139","26,976 *",,,,,,,,,,,,,,,,
,    Balance on primary income,-30,-57,-430,-287,-74 |,354,702,"1,634","1,100",841,677,942,197,957,727,"1,857","2,579","3,226","3,844 *",,,,,,,,,,,,,,,,
,        Credit,"3,336","3,553","3,306","3,330","3,725 |","4,741","6,076","7,392","7,005","6,405","6,688","7,637","8,257","8,358","8,779","9,503","9,556","10,583","12,068 *",,,,,,,,,,,,,,,,
,        Debit,"-3,366","-3,610","-3,736","-3,617","-3,799 |","-4,387","5,374","5,758","5,905","5,564","6,010","6,695","8,060","7,401","8,052","7,646","6,977","7,357","8,224 *",,,,,,,,,,,,,,,,
,    Balance on secondary income,"5,643","6,860","7,680","8,386","9,160 |","11,634","13,244","14,446","15,719","16,570","17,596","18,567","19,500","21,073","22,782","23,263","24,728","26,153","26,820 *",,,,,,,,,,,,,,,,
,        Credit,"5,909","7,119","7,948","8,626","9,420 |","11,816","13,482","14,633","16,037","16,971","17,970","19,044","20,057","21,680","23,446","24,086","25,411","26,897","27,607 *",,,,,,,,,,,,,,,,
,        Debit,-266,-259,-268,-240,-260 |,-181,238,187,317,401,374,477,557,606,663,823,684,745,787 *,,,,,,,,,,,,,,,,
,Capital account,138,62,27,54,17 |,79,103,36,110,90,88,160,95,134,108,84,62,69,65 *,,,,,,,,,,,,,,,,
,     Credit,168,86,50,82,46 |,81,127,81,127,98,98,189,111,151,121,99,77,103,103 *,,,,,,,,,,,,,,,,
,     Debit,-30,-24,-23,-28,-29 |,-2,24,45,17,8,10,29,16,18,13,15,15,34,38 *,,,,,,,,,,,,,,,,
,Financial accountx,"3,225",849,"1,029",672,"-1,647 |","1,834","1,684",-170,"1,370",-896,"-11,491","-5,319","-6,748","2,230","9,631","2,301",175,"-2,798","-7,832 *",,,,,,,,,,,,,,,,
,     Direct investmenty,"2,115",335,"1,477",188,109 |,-870,"-1,639","2,454",630,-167,"1,642",342,958,-90,"1,014",-100,"-5,883","-6,952","-5,854 *",,,,,,,,,,,,,,,,
,     Portfolio investment,-553,"1,027",746,562,"-1,713 |","-1,298","-3,019","-1,575","1,587","-2,054","-4,890","-3,663","-3,205","-1,001","2,708","5,471","1,480","2,454",858 *,,,,,,,,,,,,,,,,
,     Financial derivatives ,44,-15,-21,-64,-27 |,43,138,288,114,-30,194,"-1,005",-14,-88,4,6,-32,-51,-53 *,,,,,,,,,,,,,,,,
,     Other investment,"1,619",-498,"-1,173",-14,-16 |,"3,958","6,204","-1,336",-961,"1,356","-8,436",-993,"-4,487","3,410","5,905","-3,076","4,610","1,750","-2,783 *",,,,,,,,,,,,,,,,
,Net errors and omissionsz,"-1,644",637,36,-896,-275 |,"2,174","-1,613",277,"1,204","-3,013","-3,515",279,"-4,556","-4,202","-4,091","-2,433",274,"-1,588","-2,324 *",,,,,,,,,,,,,,,,
,Overall balanceaa,-509,-202,810,115,-280 |,"2,410","3,769","8,556",89,"6,421","15,243","11,400","9,236","5,085","-2,858","2,616","-1,038",-863,"-2,306 *",,,,,,,,,,,,,,,,
,Changes in reservesab,509,202,-810,-115,280 |,… |,"3,769","8,556",89,"6,421","15,243","11,400","9,236","5,085","-2,858","2,616","-1,038",-863,"-2,306 *",,,,,,,,,,,,,,,,
,International investment position,...,"-37,228","-37,865","-41,610","-40,210 |","-39,899","-46,173","-47,258","-31,558","-29,139","-29,307","-23,060","-40,641","-35,955","-40,897","-28,206","-27,987","-42,700","-48,811 *",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,              Balance of Payments   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Exports,46.1,41.1,42.3,42.1,42.5,24.4,25.1,22.0,19.9,17.3,18.4,17.1,18.5,16.4,17.5,14.8,14.0,16.5,15.6 *,,,,,,,,,,,,,,,,
,               Imports,53.5,49.3,49.1,49.1,48.7,36.2,34.5,31.3,30.6,25.5,26.9,26.2,26.1,22.9,23.6,22.7,25.7,29.3,30.4 *,,,,,,,,,,,,,,,,
,               Balance on goods,-7.4,-8.2,-6.8,-7.0,-6.2,-11.8,-9.4,-9.4,-10.7,-8.2,-8.4,-9.1,-7.6,-6.5,-6.1,-8.0,-11.7,-12.8,-14.8 *,,,,,,,,,,,,,,,,
,               Current account balance,-2.7,-2.3,-0.3,0.3,1.8,1.9,5.7,5.4,0.1,5.0,3.6,2.5,2.8,4.2,3.8,2.5,-0.4,-0.7,-2.4 *,,,,,,,,,,,,,,,,
,               Overall balance,-0.6,-0.3,1.0,0.1,-0.3,2.3,3.1,5.7,0.1,3.8,7.6,5.1,3.7,1.9,-1.0,0.9,-0.3,-0.3,-0.7 *,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INTERNATIONAL RESERVES  as of end of period ($ million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,"15,063","15,692","16,365","17,063","16,228","18,494","22,967","33,751","37,551","44,243","62,373","75,302","83,831","83,187","79,541","80,667","80,692","81,565","79,193",,,,,,,,,,,,,,,,
,"     Gold, national valuation","1,973","2,216","3,036","3,408","3,112","2,568","2,941","3,541","4,358","5,460","7,010","8,013","10,353","7,498","7,484","6,703","7,259","8,337","8,153",,,,,,,,,,,,,,,,
,     Foreign exchange,"12,975","13,353","13,200","13,523","12,980","15,800","19,891","30,071","33,047","37,504","53,991","65,700","71,656","73,792","70,260","72,352","71,853","71,598","69,382",,,,,,,,,,,,,,,,
,     Reserve position in the IMF,113,110,119,130,136,125,132,138,135,138,251,472,534,594,571,439,442,423,474,,,,,,,,,,,,,,,,
,     SDRs,2,14,10,2,1,1,2,1,11,"1,141","1,121","1,118","1,288","1,303","1,226","1,173","1,138","1,207","1,184",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EXCHANGE RATES   (₱–$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,End of period,50.00,51.40,53.10,55.57,56.27,53.07,49.13,41.40,47.49,46.36,43.89,43.93,41.19,44.41,44.62,47.17,49.81,49.92,52.72,,,,,,,,,,,,,,,,
,Average of period,44.19,50.99,51.60,54.20,56.04,55.09,51.31,46.15,44.32,47.68,45.11,43.31,42.23,42.45,44.40,45.50,47.49,50.40,52.66,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EXTERNAL INDEBTEDNESS    as of end of year ($ million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total debt outstanding and disbursed,"58,456","58,400","60,064","62,763","61,149","58,693","57,597","59,176","58,270","55,984","65,358","66,114","69,372","66,202","77,434","76,448","73,014","73,079.7",...,,,,,,,,,,,,,,,,
,     Long-term debt,"50,777","50,301","52,661","55,213","55,165","51,742","52,413","51,907","51,089","50,668","53,556","52,777","51,632","48,003","59,972","60,187","57,361","57,611.6",...,,,,,,,,,,,,,,,,
,          Public and publicly guaranteed,"33,744","29,211","32,319","36,147","35,981","35,364","36,976","38,137","39,258","42,196","45,094","44,633","43,050","38,593","38,914","39,042","33,932","35,440.4",...,,,,,,,,,,,,,,,,
,          Private nonguaranteed,"17,033","21,090","20,342","19,066","19,184","16,378","15,437","13,770","11,831","8,472","8,462","8,144","8,582","9,410","21,058","21,145","23,430","22,171.2",...,,,,,,,,,,,,,,,,
,     Short-term debt,"5,495","6,000","5,559","6,179","5,046","6,395","5,009","7,084","7,001","4,002","10,512","12,050","16,452","16,909","16,248","15,099","14,526","14,274.7",...,,,,,,,,,,,,,,,,
,     Use of IMF credit,"2,183","2,098","1,845","1,371",937,555,175,184,180,"1,314","1,290","1,287","1,288","1,290","1,214","1,161","1,127","1,193.4",...,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
