"HONG KONG, CHINA",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
o,Refers to professional and business services.,,,,,,,,,,,,,,,,,,,,
p,"Refers to public administration, social services, and personal services.",,,,,,,,,,,,,,,,,,,,
q,Refers to ownership of premises.,,,,,,,,,,,,,,,,,,,,
r,"Refers to agriculture, fishing, mining, and quarrying.",,,,,,,,,,,,,,,,,,,,
s,"Refers to manufacturing; electricity, gas, steam, and air-conditioning supply; water supply; sewerage, waste management, and remediation activities; and construction.",,,,,,,,,,,,,,,,,,,,
t,"Refers to import, export, wholesale, and retail trades; accommodation and food services; transportation, storage, postal, and courier services; information and communications; financing and insurance; real estate, professional, and business services; public administration, social services, and personal services; and ownership of premises.",,,,,,,,,,,,,,,,,,,,
u,Acquisitions less disposals of valuables are not compiled.,,,,,,,,,,,,,,,,,,,,
v,Trade in goods and services statistics presented are compiled based on the change of ownership principle in recording goods sent abroad for processing and merchanting under the standards stipulated in the System of National Accounts 2008.,,,,,,,,,,,,,,,,,,,,
w,Data include final consumption of NPISHs.,,,,,,,,,,,,,,,,,,,,
x,"GDP and real GNI in chained (2017) dollars compiled using the annually reweighted chain-linking approach have been rereferenced from 2016 to 2017. Component and aggregate data series are estimated separately using component and aggregate indexes, thereby losing additivity.",,,,,,,,,,,,,,,,,,,,
y,Refers to balance on secondary income.,,,,,,,,,,,,,,,,,,,,
z,"Starting from the reference year 2008, the index of industrial production and producer price index for manufacturing industries are compiled based on the Hong Kong Standard Industrial Classification Version 2.0, which adopts the basic framework and principles of the International Standard Industrial Classification of All Economic Activities Revision 4.",,,,,,,,,,,,,,,,,,,,
aa,"The average monthly household expenditure (in Hong Kong dollars) of the consumer price index (CPI) was HK$5,500–HK$89,999, with the base period of October 2014–September 2015. From October 2014 onward, the CPIs are compiled based on expenditure weights obtained from the 2014/2015 Household Expenditure Survey. For earlier periods, the CPIs were compiled based on old weights and have been rescaled to the new base period for linking with the new index series. In deriving the year-on-year rates of change, indices of more than one decimal place are used in the calculation. The year-on-year rates of change before October 2015 were derived using the index series in the base periods at that time (for instance the 2009/10-based index series), compared with the index a year earlier in the same base period.",,,,,,,,,,,,,,,,,,,,
ab,Refers to manufacturing industries.,,,,,,,,,,,,,,,,,,,,
ac,Includes short-term exchange fund placements in the monetary aggregate.,,,,,,,,,,,,,,,,,,,,
ad,"In accordance with the accounting rules adopted in the IMF's Balance of Payments and International Investment Position Manual (sixth edition), a positive value for the balance figure in the current and capital account represents a surplus, whereas a negative value represents a deficit. In the financial nonreserve assets, increases in net financial assets and net financial liabilities are shown with positive signs, and net transactions are computed by subtracting the liabilities from the assets. Thus, a positive value in the net transactions represents a net lending, while a negative value represents a net borrowing. For the overall balance of payments, a positive value represents a surplus, whereas a negative value represents a deficit.",,,,,,,,,,,,,,,,,,,,
ae,"Data are the sum of quarterly figures converted from Hong Kong dollars to United States dollars, using the average of period exchange rates from the IMF.",,,,,,,,,,,,,,,,,,,,
af,"For purposes of analysis, a positive value in reserves and related items represents a net decrease, while a negative value represents a net increase.",,,,,,,,,,,,,,,,,,,,
ag,"Net international investment position is the difference between total external financial assets and total external financial liabilities. Figures were converted from Hong Kong dollars to United States dollars, using the end of period exchange rates from the IMF.",,,,,,,,,,,,,,,,,,,,
ah,"For 2002 onward, data include debt liabilities under direct investment relationships.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Sources:,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Population,"Government of the Hong Kong Special Administrative Region, Census and Statistics Department (CSD). Official communication, 26 April 2019; past communication.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Labor Force,"CSD. Official communication, 26 April 2019; past communication.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,National Accounts,"CSD. Official communication, 23 July 2019; past communication.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Production Indexes,"CSD. Official communication, 26 April 2019; past communication.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Energy,"CSD. Official communication, 26 April 2019; past communication.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Price Indexes,"CSD. Official communication, 26 April 2019; past communication.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Money and Banking,"Hong Kong Monetary Authority. Official communication, 8 May 2019; Monthly Statistical Bulletin, April 2004; past communication.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Government Finance,International Monetary Fund (IMF). Government Finance Statistics. http://data.imf.org/gfs (accessed 10 May 2019).,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,External Trade,"CSD. Official communication, 26 April 2019; past communication.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Direction of Trade,IMF. Direction of Trade Statistics. http://data.imf.org/ (accessed 20 May 2019).,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Balance of Payments,"CSD. Official communication, 26 April 2019; past communication.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,International Reserves      ,IMF. International Financial Statistics. http://data.imf.org/ (accessed 27 March 2019).,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Exchange Rates                ,IMF. International Financial Statistics. http://data.imf.org/ (accessed 27 March 2019).,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,External Indebtedness,"For 2000–2001: Organisation for Economic Co-operation and Development. Statistical Compendium 2005/–2, CD-ROM.",,,,,,,,,,,,,,,,,,,
,,"For 2002–2018: CSD. Official communication, 26 April 2019; past communication.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
