"KOREA, REPUBLIC OF",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,     Balance on services,-846,"-2,266","-5,826","-4,845","-5,050","-8,984","-13,040","-13,040","-6,311","-9,338","-13,973","-12,057","-5,058","-6,329","-3,290","-14,626","-17,338","-36,734","-29,737"
,          Credit,"32,556","30,777","31,023","35,761","45,285","50,538","57,012","71,413","91,045","72,541","82,949","90,560","103,134","103,324","111,902","97,499","94,809","89,701","99,057"
,          Debit,"33,402","33,043","36,849","40,606","50,335","59,522","70,052","84,453","97,356","81,879","96,922","102,616","108,192","109,653","115,192","112,124","112,148","126,435","128,794"
,     Balance on primary income,"-4,152","-3,714","-2,407","-2,820","-1,794","-8,041","-4,998","-4,537","-2,416","-3,436",-693,"5,396","10,733","7,518","5,159","4,455","4,567","5,337","2,778"
,          Credit,"7,037","7,278","7,300","7,692","10,781","11,467","14,710","20,118","20,808","14,711","21,976","26,666","29,153","28,982","28,233","25,102","26,473","29,472","34,482"
,          Debit,"11,189","10,992","9,707","10,512","12,575","19,508","19,708","24,655","23,224","18,147","22,669","21,270","18,420","21,464","23,073","20,647","21,906","24,135","31,704"
,     Balance on secondary income,-214,"-1,261","-2,114","-3,165","-3,038","-3,258","-4,382","-4,387","-1,267","-2,195","-5,317","-4,716","-5,474","-4,189","-4,985","-4,985","-5,767","-6,965","-8,499"
,          Credit,"4,441","4,476","5,325","5,862","6,162","6,252","6,065","6,609","9,275","7,902","7,050","8,432","8,558","8,779","8,874","8,844","8,743","9,707","9,357"
,          Debit,"4,655","5,738","7,439","9,026","9,200","9,510","10,447","10,997","10,542","10,097","12,366","13,148","14,032","12,968","13,859","13,830","14,509","16,672","17,855"
,Capital account ,38,-64,-9,-48,10,-1,-69,6,26,-70,-63,-112,-42,-27,-9,-60,-46,-27,189
,     Credit,73,6,12,14,23,113,64,156,104,16,62,24,21,59,54,88,81,250,360
,     Debit,34,70,21,62,13,114,133,151,77,85,125,136,62,86,63,149,127,276,171
,Financial account,"-14,245",713,"-6,240","-9,169","-4,651","-1,337","-10,147","1,998","49,951","-41,486","-5,450","8,968","35,205","61,965","68,464","90,732","92,196","80,068","52,997"
,     Direct investment,"-6,667","-3,779","-2,038","-1,991","-6,099","-5,313","3,401","13,004","8,349","8,379","18,724","19,875","21,103","15,551","18,725","19,583","17,785","16,157","24,438"
,     Portfolio investment,"-12,177","-6,706",-346,"-17,287","-6,599","3,518","23,386","27,078","2,421","-51,188","-42,365","-13,143","-6,748","9,345","30,609","49,530","66,970","57,853","43,884"
,     Financial derivatives,179,123,-362,-619,"-2,020","-1,790",-484,"-5,445","14,369","3,093",-829,"1,031","-2,628","-4,410","-3,827","1,791","-3,440","-8,253","-1,311"
,     Other investment,"4,419","11,075","-3,493","10,729","10,067","2,248","-36,449","-32,640","24,811","-1,770","19,019","1,204","23,478","41,479","22,957","19,828","10,881","14,312","-14,013"
,Net errors and omissions,-693,"6,188","1,503","5,421","4,760","6,261","9,940","6,648","-8,274","-5,837","-6,367","6,394",-360,"1,029","3,329","-2,274","1,934","9,221","-6,108"
,Overall balance,"23,771","7,576","11,799","25,849","38,711","19,806","22,113","15,128","-56,446","68,666","26,971","13,953","13,185","16,296","17,886","12,053","7,615","4,357","17,492"
,Reserves and related items,"-23,771","-7,576","-11,799","-25,849","-38,711","-19,806","-22,113","-15,128","56,446","-68,666","-26,971","-13,953","-13,185","-16,296","-17,886","-12,053","-7,615","-4,357","-17,492"
,International investment position,"-36,527","-57,815","-61,221","-63,210","-60,430","-143,902","-155,217","-187,448","-69,328","-99,874","-131,104","-81,030","-94,370","-37,224","84,235","204,461","281,098","261,698","412,980"
,,,,,,,,,,,,,,,,,,,,
,               Balance of Payments   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,               Exports,29.4,26.7,25.7,27.7,32.3,30.5,31.3,32.6,41.4,38.5,40.5,46.8,47.2,45.1,41.3,37.1,34.1,35.7,36.3
,               Imports,26.7,25.0,23.4,24.6,27.3,27.0,28.9,29.9,40.2,33.4,36.4,44.6,43.4,39.3,35.5,28.9,26.4,28.8,29.8
,               Balance on goods,2.7,1.7,2.3,3.2,4.9,3.5,2.3,2.8,1.1,5.1,4.2,2.2,3.8,5.9,5.8,8.2,7.8,7.0,6.5
,               Current account balance,1.8,0.4,0.6,1.6,3.7,1.3,0.2,0.9,0.2,3.5,2.4,1.3,3.8,5.6,5.6,7.2,6.5,4.6,4.4
,               Overall balance,4.1,1.4,1.9,3.7,4.9,2.1,2.1,1.3,-5.4,7.3,2.4,1.1,1.0,1.2,1.2,0.8,0.5,0.3,1.0
,,,,,,,,,,,,,,,,,,,,
,INTERNATIONAL RESERVES   as of end of period ($ million),,,,,,,,,,,,,,,,,,,
,Total,"96,198","102,822","121,414","155,355","199,069","210,391","238,957","262,224","201,220","270,012","291,571","306,422","326,968","346,444","363,580","367,944","371,103","389,248","403,575"
,"     Gold, national valuation",68,68,69,71,72,74,74,74,76,79,80,"2,167","3,761","4,795","4,795","4,795","4,795","4,795","4,795"
,     Foreign exchange,"95,855","102,488","120,811","154,509","198,175","209,968","238,388","261,771","200,479","265,202","286,926","298,233","316,898","335,647","353,600","358,514","361,701","379,477","393,332"
,     Reserve position in the IMF,272,262,522,754,788,306,440,311,580,985,"1,025","2,564","2,784","2,512","1,903","1,397","1,719","1,594","2,021"
,     SDRs,4,3,12,21,33,44,54,69,86,"3,745","3,540","3,458","3,526","3,490","3,281","3,239","2,887","3,382","3,427"
,,,,,,,,,,,,,,,,,,,,
,EXCHANGE RATES   (W–$),,,,,,,,,,,,,,,,,,,
,End of period,"1,264.5","1,313.5","1,186.2","1,192.6","1,035.1","1,011.6",929.8,936.1,"1,259.5","1,164.5","1,134.8","1,151.8","1,070.6","1,055.4","1,099.3","1,172.5","1,207.7","1,070.5","1,115.7"
,Average of period,"1,131.0","1,291.0","1,251.1","1,191.6","1,145.3","1,024.1",954.8,929.3,"1,102.0","1,276.9","1,156.1","1,108.3","1,126.5","1,094.9","1,053.0","1,131.2","1,160.4","1,130.4","1,100.6"
,,,,,,,,,,,,,,,,,,,,
,EXTERNAL INDEBTEDNESSp   as of end of year ($ million),,,,,,,,,,,,,,,,,,,
,Total debt outstanding and disbursed,"135,208","116,038","128,670","138,324","148,283","161,956","229,224","338,707","315,944","344,607","355,911","400,034","408,928","423,505","424,325","396,058","382,162","412,028","440,599"
,     Long-term debt,"91,412","80,727","84,214","90,491","93,886","95,043","111,040","172,771","166,977","195,921","219,458","260,269","280,964","311,743","307,909","291,745","277,354","296,063","314,013"
,          Public and publicly guaranteed,"52,128","41,580","38,932","38,386","40,248","39,665","46,505","81,865","75,986","101,326","120,636","136,915","153,385","172,269","169,751",…,…,...,…
,          Private nonguaranteed,"39,283","39,147","45,283","52,105","53,638","55,378","64,534","90,906","90,991","94,594","98,822","123,354","127,578","139,473","138,224",…,…,...,…
,     Short-term debt,"43,797","35,311","44,456","47,833","54,397","66,913","118,184","165,936","148,967","148,687","136,453","139,765","127,964","111,762","116,417","104,314","104,807","115,965","126,585"
,     Use of IMF credit,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
,,,,,,,,,,,,,,,,,,,,
,          External debtp   (% of GNI),23.6,21.3,20.6,19.8,18.7,17.4,21.8,29.0,30.2,36.6,31.1,31.7,31.7,30.7,28.5,26.9,25.4,25.3,25.5
,          Total long-term debt   (% of total debt),67.6,69.6,65.4,65.4,63.3,58.7,48.4,51.0,52.9,56.9,61.7,65.1,68.7,73.6,72.6,73.7,72.6,71.9,71.3
,          Short-term debt   (% of total debt),32.4,30.4,34.6,34.6,36.7,41.3,51.6,49.0,47.1,43.1,38.3,34.9,31.3,26.4,27.4,26.3,27.4,28.1,28.7
,          Debt service   (% of exports of goods and services),10.9,13.9,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…
,,,,,,,,,,,,,,,,,,,,
,Debt service   transactions during the year ($ million),,,,,,,,,,,,,,,,,,,
,     Principal repayments on long-term debt,"17,403","19,137","21,976","14,034","7,323","5,783","6,147","3,554",–,"1,612","2,457",...,...,...,...,...,...,...,...
,     Interest on long-term debt,"3,998","3,575","3,026","2,254","1,758","1,441","1,193",985,–,474,386,...,...,...,...,...,...,...,...
,     Interest on short-term debt,"1,504",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,,,,,,,,,,,,,,,,,,,,
,Average terms of new commitments,,,,,,,,,,,,,,,,,,,
,     Interest   (% per annum),5.6,4.2,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Maturity   years,4.6,4.1,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Grace period   years,4.5,4.0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Grant element   (%),15.3,17.3,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"… = data not available; – = magnitude equals zero; 0 or (-/+) 0.0 = magnitude is less than half of unit employed; $ = United States dollars; cif = cost, insurance, and freight; fob = free on board; GDP = gross domestic product; GNI = gross national income; IMF = International Monetary Fund; km2 = square kilometer; kWh = kilowatt-hour; L = liter; m3 = cubic meter; NPISHs = nonprofit institutions serving households; SDRs = special drawing rights; t = metric ton; W = won.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
a,Aggregates for GDP were revised as a result of the implementation of the System of National Accounts 2008 and updating of the reference period to 2010.,,,,,,,,,,,,,,,,,,,
b,Includes trading gains or losses and net factor income from abroad.,,,,,,,,,,,,,,,,,,,
c,Refers to crude oil and petroleum products. Original values in barrel were converted using 1 barrel = 0.131 metric ton.,,,,,,,,,,,,,,,,,,,
d,Refers to unleaded gasoline prices.,,,,,,,,,,,,,,,,,,,
e,The monetary aggregates were redefined in line with the IMF's most recent Monetary and Financial Statistics Manual (2000).,,,,,,,,,,,,,,,,,,,
f,"Comprises demand deposits, savings deposits with transferability, and money market funds (MMFs). Corporate MMFs were excluded from November 2005 because, from November 2005, corporate MMFs are subject to redemption the next business day. Individual MMFs were also excluded from March 2007 because, from March 2007, individual MMFs are subject to redemption and deposit the next business day.",,,,,,,,,,,,,,,,,,,
g,"For 2001 onward, data strictly adhere to the IMF's Monetary and Financial Statistics Manual (2000).",,,,,,,,,,,,,,,,,,,
h,"Includes deposits and securities excluded from money supply (M2), loans, financial derivatives, and other (net) items, shares and other equity, and consolidation (net) adjustment.",,,,,,,,,,,,,,,,,,,
i,"Refers to depository corporations. Comprises commercial banks, specialized banks, the Export–Import Bank of Korea, merchant banking corporations, investment trust companies, trust accounts of banks, mutual savings banks, mutual credits, community credit cooperatives, credit unions, and postal savings.",,,,,,,,,,,,,,,,,,,
j,Includes time deposits and installment savings deposits with maturities of less than 2 years.,,,,,,,,,,,,,,,,,,,
k,"Refers to other deposits included in the national definition of broad money, other than time and savings deposits with maturity of less than 2 years. Also includes marketable instruments, yield-based dividend instruments, bills issued by merchant banking corporations, etc.",,,,,,,,,,,,,,,,,,,
l,Weighted averages of interest rates on newly extended time and savings deposits of commercial and specialized banks.,,,,,,,,,,,,,,,,,,,
m,Weighted averages of interest rates on newly extended loans and discounts of commercial and specialized banks.,,,,,,,,,,,,,,,,,,,
n,"""Others"" includes public debt transactions, transactions to other levels of national government, and others.",,,,,,,,,,,,,,,,,,,
o,Data have been compiled in accordance with the IMF's Balance of Payments and International Investment Position Manual (sixth edition).,,,,,,,,,,,,,,,,,,,
p,GNI was converted into United States dollars using the average of period exchange rate from the IMF.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Sources:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Population,"Statistics Korea (KOSTAT). Official communication, 8 May 2019; past communication.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,     Population Density,"KOSTAT. Official communication, 8 May 2019; past communication.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,     Urban Population,United Nations. World Urbanization Prospects 2018. https://population.un.org/wup/Download/ (accessed 3 July 2019).,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Labor Force,"KOSTAT. Official communication, 8 May 2019; past communication.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,National Accounts,"Bank of Korea (BOK). Official communication, 10 June 2019, past communication; http://ecos.bok.or.kr/EIndex_en.jsp.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Production Indexes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,     Agriculture,Food and Agriculture Organization of the United Nations. FAOSTAT. http://www.fao.org/faostat/en/#data (accessed 5 June 2019).,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,     Mining,"KOSTAT. Official communication, 8 May 2019; past communication.",,,,,,,,,,,,,,,,,,
,     Manufacturing,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Energy,"KOSTAT. Official communication, 8 May 2019; past communication.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Price Indexes,"KOSTAT. Official communication, 8 May 2019; past communication.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Money and Banking,"BOK. Official communication, 10 June 2019, past communication; http://ecos.bok.or.kr/EIndex_en.jsp.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Government Finance,"KOSTAT. Official communication, 8 May 2019; past communication.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,External Trade,"KOSTAT. Official communication, 8 May 2019; past communication.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,     Direction of Trade,International Monetary Fund. Direction of Trade Statistics. http://data.imf.org/ (accessed 20 May 2019).,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Balance of Payments,"BOK. Official communication, 10 June 2019, past communication; http://ecos.bok.or.kr/EIndex_en.jsp.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,International Reserves,International Monetary Fund. International Financial Statistics. Http://data.imf.org/ (accessed 27 March 2019).,,,,,,,,,,,,,,,,,,
,Exchange Rates,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,External Indebtedness,"BOK. Official communication, 10 June 2019, past communication; http://ecos.bok.or.kr/EIndex_en.jsp.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,     Debt Service,World Bank. World Development Indicators. https://data.worldbank.org/indicator (accessed 4 April 2019).,,,,,,,,,,,,,,,,,,
,     Average Terms of New Commitments,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
